Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10932.82,67007,6.13,11.70,-0.41,0.02,,,,,69306.00,,,,,,,,,,,5749.7,888.4,,,,647.1,257.9,26.6,147.7,1806.0,11.4,664.8,0.9,1272.9,,174.2,,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46470.0,79.12,6451,202.6,5918.60,5442.12,6171.63,5313.56,,,,471.7,475.9,485.1,4012.79,4012.79,,9.12,10.12,9.62,43026.0,1.00,,,85756.6,12.57,,,,,,,,,,,,,1.3,20.0,21.9,,,,
Good Wx.,,,4903.36,55839,11.39,11.66,-0.29,0.02,,,,,57763.20,,,,,,,,,,,4974.5,533.0,,,,159.1,94.3,26.6,147.7,1216.9,11.4,126.1,0.9,127.7,,30.5,,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37587.0,81.22,6735,199.6,4732.56,2088.21,2529.90,2060.54,,,,450.3,462.0,475.3,559.12,559.12,,9.48,10.46,9.97,45688.7,0.98,,,87642.6,12.61,,,,,,,,,,,,,1.3,23.3,23.9,,,,
Bad Wx.,,,683.10,7343,10.75,11.95,-1.23,0.04,,,,,7578.50,,,,,,,,,,,676.8,65.2,,,,54.7,53.3,,,244.1,,27.0,,40.7,,21.2,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5409.0,81.25,6731,201.9,683.10,359.17,403.09,376.81,,,,550.4,499.5,497.2,143.55,143.55,,10.71,11.33,11.02,61045.0,0.62,,,98481.5,12.50,,,,,,,,,,,,,3.2,16.9,14.3,,,,
2025-01-01 08:36,MONGSTAD,Departure,8.62,,,,,,,210.0,,12.5,,632.50,1269.6,,,232.5,,,,,,,,,,,,,,,,,0.6,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,8.62,2.07,5172.0,5172.0,1242.0,600.0,600.0,600.0,,,,12.60,12.60,12.60,88401.6,0.00,,,110892.6,,,,DERSK,,2025-01-03 21:00,1,,,,,,,,,,,,,
2025-01-01 11:00,60° 49' N / 004° 23' E,Noon Maneuvering,2.40,20,,,,,,210.0,,12.5,20.00,632.00,1269.6,,,229.9,,,,,,,,,,,,,,,2.1,,0.3,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,65.00,5099,171.6,2.40,2.40,2.40,1.80,1584.0,1584.0,1188.0,660.0,660.0,660.0,1.50,1.50,,12.60,12.60,12.60,88401.6,0.00,,,110892.6,,,,,,2025-01-03 21:00,,NE,4,,,,,2.0,,3.0,1016.0,,,1016
2025-01-01 12:00,MONGSTAD,Begin Of Sea Passage,1.00,12,12.00,,,,,210.0,,12.5,11.50,620.00,1269.6,,,228.4,,,,,,,,,,,,,,,1.4,,0.1,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,88.00,6182,226.5,1.00,1.00,1.00,0.80,515.0,515.0,412.0,515.0,515.0,515.0,,,,12.60,12.60,12.60,88401.6,0.00,,L,110892.6,,,,DKSKA,,2025-01-03 21:00,1,NE,4,,,,,2.0,,3.0,1015.0,,,1015
2025-01-02 11:00,57° 44' N / 008° 41' E,Noon At Sea,23.00,283,12.30,12.93,-0.56,-0.07,N,83.0,,12.5,285.00,337.00,1269.6,,,172.4,,,,,,,,,,,,,,,35.4,,3.4,,17.2,,17.2,,,,,35.4,,,3.4,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,87.90,7746,198.7,23.00,23.00,4.60,19.00,12811.0,2562.2,10583.0,557.0,557.0,557.0,23.00,23.00,,12.60,12.60,12.60,88401.6,0.00,,L,110892.6,,,,DKSKA,NOMON,2025-01-03 21:30,1,NW,4,,,,,2.0,,4.0,1006.0,,,1006
2025-01-02 15:48,SKAGEN,End Of Sea Passage,4.80,64,13.33,13.02,-0.27,0.58,Y,,,,54.00,,1269.6,,,160.8,,,,,,,,,,,,,,,7.2,,0.6,,3.8,,3.8,,,,,42.6,,,4.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,89.40,6465,232.0,4.80,4.80,,4.80,2400.0,,2400.0,500.0,,500.0,4.80,4.80,,12.60,12.60,12.60,88401.6,0.00,,L,110892.6,,,,,NOMON,2025-01-03 21:30,,NW,4,,,,,2.0,,2.0,1006.0,,,1006
2025-01-02 17:48,57° 42' N / 010° 46' E,Drop Anchor,2.00,19,,,,,,,,,17.00,,1269.6,,,148.6,,,,,,,,,,,,,,,9.8,,0.3,,2.1,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,53.20,10282,476.6,2.00,2.00,,2.00,1000.0,,1000.0,500.0,,500.0,2.00,2.00,,12.60,12.60,12.60,88401.6,0.00,,L,110892.6,,,,DERSK,,2025-01-03 21:30,1,W,4,,,,,2.0,,1.0,1004.0,,,1004
2025-01-03 00:42,57° 42' N / 010° 46' E,Heave Anchor,6.90,0,,,,,,121.0,,12.5,,269.00,1269.6,,,341.6,,,,,,,,,,,,,,,,,0.8,,6.8,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.40,,6.40,3200.0,,3200.0,500.0,,500.0,6.40,6.40,,12.60,12.60,12.60,88401.6,0.00,,L,110892.6,,,,DERSK,,2025-01-04 00:30,1,,,,,,,,,,,,,
