Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10961.00,87835,8.01,12.73,-0.71,0.06,,,,,91362.10,,,,,,,,,,,8327.3,937.8,72.5,,,674.9,263.2,18.3,,1025.0,,501.9,,895.0,,75.4,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,265.1,,,,,166.4,44.2,,,,,,,,,,,,,,,,,,62.1,51639.0,78.93,6088,244.5,7465.39,7027.06,4467.28,4293.17,,,,399.9,396.1,381.3,4846.71,4838.71,95.90,8.97,9.90,9.43,37336.7,0.93,,,81495.1,12.71,,,,,,,,,,,,,1.3,21.4,22.3,,,,
Good Wx.,,,5656.90,70150,12.40,12.80,-0.45,0.06,,,,,72697.10,,,,,,,,,,,6568.4,625.9,25.4,,,255.9,221.0,14.8,,699.8,,89.3,,25.4,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,217.8,,,,,45.2,44.2,,,,,,,,,,,,,,,,,,,39123.0,83.33,6510,257.2,5596.60,3536.48,1781.23,1803.53,,,,443.8,423.8,404.6,1074.84,1074.84,,8.97,9.91,9.44,38081.0,0.94,,,81509.2,12.74,,,,,,,,,,,,,1.2,22.9,24.0,,,,
Bad Wx.,,,1283.36,13744,10.71,12.47,-1.84,0.08,,,,,14406.20,,,,,,,,,,,1712.3,159.9,,,,15.9,0.1,3.5,,38.3,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9235.0,82.86,6806,204.7,1274.38,731.48,384.14,434.13,,,,424.6,446.6,440.3,97.10,97.10,,9.46,10.48,9.97,43127.0,1.02,,,87184.2,12.66,,,,,,,,,,,,,3.8,18.1,20.8,,,,
2025-01-01 11:00,52° 16' N / 003° 32' E,Other (Maneuvering),11.02,95,,,,,,,,,95.00,,525.4,,,327.6,,,,,,,,,,,,,,,4.4,,2.0,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,59.70,3627,110.1,11.02,11.02,11.02,,3636.6,3636.6,,330.0,330.0,,11.02,11.02,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,NLRTM,,2025-01-02 20:00,1,,,,,,,,,,,,,
2025-01-01 19:30,51° 54' N / 003° 29' E,Drop Anchor,8.50,29,,,,,,,,,40.00,,525.4,,,319.4,,,,,,,,,,,,,,,5.6,,1.4,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,59.70,3627,181.6,8.50,8.50,8.50,,2805.0,2805.0,,330.0,330.0,,8.50,8.50,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,NLRTM,,2025-01-02 20:00,1,SW,6,,,,,3.0,,7.0,1011.0,,,1011
2025-01-02 11:00,51° 54' N / 003° 29' E,Noon Maneuvering,15.50,,,,,,,,,,,240.00,525.4,,,311.3,,,,,,,,,,,,,,,,,2.4,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.50,15.50,,4495.0,4495.0,,290.0,290.0,,15.50,15.50,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,GBIMM,,2025-01-02 20:00,0,NW,5,,,,,3.0,,7.0,1011.0,,,1011
2025-01-03 11:00,51° 54' N / 003° 29' E,Noon Maneuvering,24.00,,,,,,,,,,,240.00,525.4,,,304.0,,,,,,,,,,,,,,,,,3.1,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,22.10,,7080.0,6188.0,,295.0,280.0,,12.00,12.00,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,GBIMM,,2025-01-02 20:00,0,NW,5,,,,,2.2,,7.0,1020.0,,,1020
2025-01-04 11:00,51° 54' N / 003° 29' E,Noon Maneuvering,24.00,,,,,,,,,,,240.00,525.4,,,294.0,,,,,,,,,,,,,,,,,3.2,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,7.30,,8880.0,2263.0,,370.0,310.0,,15.80,15.80,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,GBIMM,,2025-01-02 20:00,0,SW,5,,,,,2.0,,4.0,1014.0,,,1014
2025-01-05 08:00,51° 54' N / 003° 29' E,Heave Anchor,21.00,,,,,,,355.0,,4.0,,240.00,525.4,,,287.2,,,,,,,,,,,,,,,,,2.6,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,0.60,,8190.0,234.0,,390.0,390.0,,12.50,12.50,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,GBIMM,,2025-01-02 20:00,0,,,,,,,,,,,,,
2025-01-05 11:30,52° 10' N / 003° 17' E,Begin Waiting/Drifting,3.50,17,,,,,,,,,17.00,,525.4,,,282.9,,,,,,,,,,,,,,,3.2,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,49.50,2324,393.4,3.50,3.50,3.50,,980.0,980.0,,280.0,280.0,,3.50,3.50,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,NLRTM,,2025-01-02 20:00,1,SW,7,,,,,2.5,,3.0,990.0,,,990
2025-01-06 11:00,52° 07' N / 003° 13' E,Noon Maneuvering,23.50,61,,,,,,,,,70.00,240.00,525.4,,,271.2,,,,,,,,,,,,,,,4.6,,2.9,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,50.50,2019,217.0,10.50,23.50,23.50,,6110.0,6110.0,,260.0,260.0,,12.50,12.50,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,GBIMM,,2025-01-02 20:00,0,SW,8,,,,,4.5,,10.0,978.0,,,978
2025-01-07 11:00,52° 10' N / 003° 17' E,Noon Maneuvering,24.00,52,,,,,,,,,60.00,240.00,525.4,,,259.5,,,,,,,,,,,,,,,4.2,,3.1,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,48.20,2208,79.3,24.00,24.00,24.00,,6720.0,6720.0,,280.0,280.0,,13.20,13.20,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,GBIMM,,2025-01-02 20:00,0,SW,7,,,,,3.0,,6.0,999.0,,,999
2025-01-07 23:01,52° 07' N / 003° 19' E,Destination Change (Maneuvering),12.02,0,,,,,,,,,,24.00,525.4,,,255.9,,,,,,,,,,,,,,,1.0,,1.5,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,52.70,1960,43.2,12.02,12.02,12.02,,2764.6,2764.6,,230.0,230.0,,12.02,12.02,,12.90,12.90,12.90,89114.8,0.00,,L,114373.1,,,,NLRTM,,2025-01-08 04:00,1,,,,,,,,,,,,,
