Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10952.02,55191,5.04,11.49,-0.33,-0.01,,,,,56673.70,,,,,,,,,,,5592.0,1453.0,,,,2108.2,260.5,48.2,,148.2,,103.8,,206.8,,5.1,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,37958.0,77.33,5448,206.1,4982.78,6204.08,6606.85,5332.78,,,,367.1,365.9,351.4,4350.41,4176.51,621.00,8.70,9.80,9.25,34280.1,1.11,,,80195.6,12.65,,,,,,,,,,,,,1.1,26.8,28.4,,,,
Good Wx.,,,4481.72,50180,11.20,11.45,-0.25,-0.01,,,,,51656.20,,,,,,,,,,,5063.2,566.0,,,,278.9,187.4,40.8,,131.4,,26.0,,56.5,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33610.5,81.49,5894,203.3,4397.60,2808.70,2429.93,1804.12,,,,366.3,357.3,339.0,801.50,792.90,8.60,9.01,10.06,9.54,38413.6,1.05,,,82166.4,12.70,,,,,,,,,,,,,1.5,27.3,28.2,,,,
Bad Wx.,,,243.00,2536,10.44,12.16,-1.68,-0.04,,,,,2551.00,,,,,,,,,,,323.8,30.7,,,,39.0,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.0,86.46,6765,198.1,243.00,110.00,169.80,92.60,,,,313.9,339.4,292.1,83.30,83.30,,12.15,12.15,12.15,82227.7,0.00,,,105462.5,13.00,,,,,,,,,,,,,4.3,23.0,21.9,,,,
2025-01-01 20:00,37° 21' N / 124° 31' W,Noon At Sea,20.02,240,11.99,12.35,-0.21,-0.15,Y,163.0,,12.5,239.00,445.00,1142.1,,,297.4,,,,,,,,,,,,,,,24.8,,2.8,,,,,,,,,72.8,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,86.58,6408,192.9,20.02,20.02,2.92,,8608.6,1255.6,,430.0,430.0,,,,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,CAVAN,2025-01-03 07:00,-8,SW,5,,,,,0.8,,14.0,1026.0,,,1026
2025-01-02 20:00,33° 44' N / 121° 12' W,Noon At Sea,24.00,297,12.38,12.50,-0.25,0.13,Y,98.0,,12.5,298.00,155.00,1142.1,,,263.7,,,,,,,,,,,,,,,29.3,,3.5,,0.9,,,,,,,102.1,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,86.50,6346,192.4,24.00,24.00,6.00,,9720.0,2430.0,,405.0,405.0,,2.70,2.70,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,CAVAN,2025-01-03 08:01,-8,NW,3,,,,,0.4,,15.0,1022.0,,,1022
2025-01-03 08:12,EL SEGUNDO,End Of Sea Passage,12.20,143,11.72,11.73,-0.14,0.13,Y,,,,143.00,,1142.1,,,248.9,,,,,,,,,,,,,,,13.1,,1.7,,,,,,,,,115.2,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,82.10,4488,239.2,12.20,12.20,12.20,,4392.0,4392.0,,360.0,360.0,,,,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,,CAVAN,2025-01-03 08:01,,W,3,,,,,0.2,,15.0,1022.0,,,1022
2025-01-03 10:54,33° 37' N / 118° 04' W,Drop Anchor,2.70,16,,,,,,,,,16.00,,1142.1,,,247.5,,,,,,,,,,,,,,,0.8,,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,38.42,984,338.8,2.40,2.70,2.70,,972.0,972.0,,360.0,360.0,,0.70,0.70,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,SE,2,,,,,0.1,,12.0,1022.0,,,1022
2025-01-03 20:00,33° 37' N / 118° 04' W,Noon Maneuvering,9.10,0,,,,,,,,,,40.00,1142.1,,,244.9,,,,,,,,,,,,,,,,,1.2,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10,9.10,,2775.5,2775.5,,305.0,305.0,,5.00,5.00,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,W,2,,,,,0.1,,15.0,1022.0,,,1022
2025-01-04 20:00,33° 37' N / 118° 04' W,Noon Maneuvering,24.00,,,,,,,,,,,40.00,1142.1,,,238.1,,,,,,,,,,,,,,,,,2.9,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,8.50,,7440.0,2635.0,,310.0,310.0,,10.50,10.50,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,W,2,,,,,0.2,,14.0,1022.0,,,1022
2025-01-05 20:00,33° 37' N / 118° 04' W,Noon Maneuvering,24.00,0,,,,,,,,,,40.00,1142.1,,,231.4,,,,,,,,,,,,,,,,,2.8,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12360.0,,,515.0,,,10.60,10.60,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,W,2,,,,,0.2,,15.0,1023.0,,,1023
2025-01-06 20:00,33° 37' N / 118° 04' W,Noon Maneuvering,24.00,0,,,,,,,,,,40.00,1142.1,,,224.6,,,,,,,,,,,,,,,,,2.9,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12360.0,,,515.0,,,10.50,10.50,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,W,2,,0.2,,,0.2,15.0,14.0,1022.0,3.00,,1022
2025-01-07 20:00,33° 37' N / 118° 04' W,Noon Maneuvering,24.00,0,,,,,,,,,,12.00,1142.1,,,218.0,,,,,,,,,,,,,,,0.1,,2.9,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,34.39,1400,238.1,0.30,24.00,24.00,,8880.0,8880.0,,370.0,370.0,,0.30,0.30,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,W,3,,,,,0.4,,15.0,1022.0,,,1022
2025-01-08 20:00,33° 37' N / 118° 04' W,Noon Maneuvering,24.00,0,,,,,,,,,,5.00,1142.1,,,208.3,,,,,,,,,,,,,,,3.1,,3.0,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,24.00,24.00,,6240.0,6240.0,,260.0,260.0,,10.20,10.20,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,NE,6,NE,2.5,,,2.5,,15.0,1022.0,7.00,,1022
2025-01-09 20:00,33° 37' N / 118° 04' W,Noon Maneuvering,24.00,0,,,,,,,,,,5.00,1142.1,,,201.5,,,,,,,,,,,,,,,0.9,,2.8,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,8.20,23.00,,2542.0,7130.0,,310.0,310.0,,9.80,9.80,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,W,3,,,,,0.4,,14.0,1022.0,,,1022
2025-01-10 20:00,33° 37' N / 118° 04' W,Noon Maneuvering,24.00,0,,,,,,,,,,40.00,1142.1,,,195.0,,,,,,,,,,,,,,,,,3.0,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12480.0,,,520.0,,10.80,10.80,,11.95,11.95,11.95,80309.2,0.00,,L,102253.0,12.50,,,USELS,,2025-01-03 08:01,-8,W,3,,,,,0.3,,15.0,1030.0,,,1030
