Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10877.40,76928,7.07,11.16,-0.57,-0.03,,,,,78552.30,,,,,,,,,,,6675.0,806.4,,,,1249.2,513.9,75.8,,1359.7,,438.7,,974.5,,92.7,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39,6006,197.6,6664.04,3883.43,4397.19,5030.47,,,,433.1,423.6,419.0,8247.29,8174.79,302.20,9.97,10.92,10.45,47523.5,0.95,,,83403.7,12.82,,,,,,,,,,,,,1.8,21.9,24.2,,,,
Good Wx.,,,5824.01,62209,10.68,11.11,-0.38,-0.04,,,,,63643.50,,,,,,,,,,,5450.6,470.8,,,,567.2,306.3,30.6,,909.4,,148.8,,174.7,,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.39,6331,194.1,5134.10,1850.15,2113.60,2279.15,,,,462.9,456.4,451.2,3349.77,3345.27,4.50,10.47,11.32,10.90,52922.1,0.85,,,87359.7,12.81,,,,,,,,,,,,,1.9,23.2,24.1,,,,
Bad Wx.,,,975.96,9608,9.84,11.44,-1.67,0.07,,,,,9791.00,,,,,,,,,,,907.8,77.4,,,,126.2,51.1,9.7,,211.6,,30.5,,24.6,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17,6390,195.2,887.79,390.48,277.50,455.98,,,,470.7,429.4,415.5,862.98,862.98,,9.79,10.67,10.23,45736.5,0.88,,,80744.0,13.00,,,,,,,,,,,,,3.9,26.0,25.4,,,,
2025-01-01 02:59,51° 33' S / 067° 14' W,Other (At sea),11.98,145,12.13,12.65,-0.24,-0.28,Y,,,,116.00,,1394.0,,,303.3,,,,,,12.1,0.9,,,,0.9,,,,,,,,,,,,,80.3,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00,6900,195.3,8.98,,,8.98,,,4490.0,,,500.0,4.18,4.18,,13.70,13.70,13.70,88433.2,0.00,,L,111850.0,13.00,,,CLPUQ,ARPRS,2025-01-01 12:00,-3,,,,,,,,,,,,,
2025-01-01 08:12,PUNTA ARENAS,End Of Sea Passage,5.22,63,12.13,12.15,-0.17,0.15,Y,,,,103.00,,1381.2,,,303.3,,,,,,11.0,0.9,,,,0.9,,,,,,,,,,,,,91.3,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00,6900,193.9,8.22,,,8.22,,,4110.0,,,500.0,3.82,3.82,,13.70,13.70,13.70,88433.2,0.00,,L,111850.0,13.00,,,,ARPRS,2025-01-01 12:00,,S,12,,,,,2.0,,17.0,1000.0,,,1000
2025-01-01 15:00,52° 35' S / 069° 42' W,Noon Maneuvering,6.80,80,,,,,,200.0,,12.0,70.00,,1370.2,,,303.3,,,,,,9.1,1.1,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.00,7100,188.5,6.80,6.80,,6.80,2040.0,,2040.0,300.0,,300.0,6.80,6.80,,13.70,13.70,13.70,88433.2,0.00,,L,111850.0,13.00,,,,,2025-01-01 12:00,,S,4,,,,,1.2,,20.0,1004.0,,,1004
2025-01-01 19:30,53° 09' S / 070° 49' W,Begin Waiting/Drifting,4.50,60,,,,,,,,,55.00,,1362.8,,,303.3,,,,,,6.2,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.00,7200,191.4,4.50,4.50,,4.50,1350.0,,1350.0,300.0,,300.0,4.50,4.50,,13.70,13.70,13.70,88433.2,0.00,,L,111850.0,13.00,,,USNAX,,2025-01-01 12:00,-10,S,3,,,,,1.5,,20.0,1002.0,,,1002
2025-01-01 20:00,53° 11' S / 070° 51' W,Destination Change (Maneuvering),0.50,2,,,,,,294.0,,13.0,2.00,6419.00,1362.8,,,303.3,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,0.50,125.0,,125.0,250.0,,250.0,0.50,0.50,,13.70,13.70,13.70,88433.2,0.00,,L,111850.0,13.00,,,USNAX,,2025-01-23 14:00,-10,,,,,,,,,,,,,
2025-01-01 20:12,53° 11' S / 070° 51' W,End Waiting/Drifting,0.20,2,,,,,,300.0,,13.0,2.00,6419.00,1362.6,,,303.3,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,0.20,50.0,,50.0,250.0,,250.0,0.20,0.20,,13.70,13.70,13.70,88433.2,0.00,,L,111850.0,13.00,,,USNAX,,2025-01-23 14:00,-10,,,,,,,,,,,,,
2025-01-02 15:00,PUNTA ARENAS,Begin Of Sea Passage,18.80,201,10.69,,,,,290.0,,13.0,205.00,6218.00,1332.6,,,303.3,,,,,,25.5,2.7,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00,6900,196.6,18.80,18.80,,18.80,5640.0,,5640.0,300.0,,300.0,18.80,18.80,,13.70,13.70,13.70,88433.2,0.00,,L,111850.0,13.00,,,USNAX,,2025-01-23 14:00,-10,W,5,,,,,2.0,,18.0,1005.0,,,1005
