Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10948.02,69461,6.34,12.14,-0.37,-0.06,,,,,72814.70,,,,,,,,,,,6126.1,950.1,,,,1126.2,348.6,140.0,,862.1,,360.2,,620.2,,74.0,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70286.8,76.85,6686,657.1,5954.38,4393.54,4996.00,5473.88,,,,377.6,364.2,374.9,3359.21,3359.21,,9.43,10.46,9.94,42448.5,1.03,,,77139.0,12.89,,,,,,,,,,,,,0.9,26.1,34.4,,,,
Good Wx.,,,5349.52,62960,11.77,12.16,-0.32,-0.07,,,,,65560.50,,,,,,,,,,,5704.3,535.7,,,,421.6,291.9,77.0,,644.9,,92.4,,50.5,,22.1,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62030.8,80.31,7192,176.9,5165.24,2216.48,1922.28,2677.84,,,,395.5,355.6,388.6,1110.69,1110.69,,10.52,11.22,10.87,55546.2,0.70,,,84875.9,12.89,,,,,,,,,,,,,1.1,27.2,26.9,,,,
Bad Wx.,,,325.58,3465,10.64,11.74,-1.22,0.12,,,,,4142.30,,,,,,,,,,,352.8,30.8,,,,20.4,19.9,,,22.0,,6.4,,13.6,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3864.0,76.89,6597,181.3,325.58,95.00,233.58,102.60,,,,407.3,357.6,259.9,57.40,57.40,,9.71,10.64,10.18,45949.4,0.93,,,79169.2,12.87,,,,,,,,,,,,,2.7,22.0,20.6,,,,
2025-01-01 20:00,35° 47' N / 122° 35' W,Noon Maneuvering,20.02,10,,,,,,,,,10.00,0.00,1205.2,,,493.4,,,,,,,,,,,,,,,0.7,,2.2,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,25.50,225,2488.9,1.25,,16.68,,,6672.0,,,400.0,,5.50,5.50,,9.90,9.90,9.90,41462.5,0.00,,L,76857.0,,,,USBNC,,2025-01-03 09:30,-7,N,4,,,,,0.6,,18.0,1028.0,,,1028
2025-01-02 20:00,36° 58' N / 122° 36' W,Noon Maneuvering,24.00,90,,,,,,,,,90.00,0.00,1205.2,,,483.7,,,,,,,,,,,,,,,5.7,,2.8,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,56.30,2410,221.0,10.70,,24.00,12.00,,7680.0,2880.0,,320.0,240.0,3.50,3.50,,9.90,9.90,9.90,41462.5,0.00,,L,76857.0,,,,USBNC,,2025-01-03 09:30,-7,N,3,,,,,0.4,,18.0,1027.0,,,1027
2025-01-03 20:00,37° 07' N / 122° 37' W,Noon Maneuvering,24.00,16,,,,,,,,,16.00,0.00,1205.2,,,477.6,,,,,,,,,,,,,,,1.5,,2.7,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,57.80,2610,261.2,2.20,,24.00,3.00,,9120.0,720.0,,380.0,240.0,7.30,7.30,,9.90,9.90,9.90,41462.5,0.00,,L,76857.0,,,,USBNC,,2025-01-04 17:30,-7,SE,4,,,,,0.8,,14.0,1023.0,,,1023
2025-01-04 12:00,37° 07' N / 122° 37' W,End Waiting/Drifting,16.00,15,,,,,,0.0,,10.0,15.00,48.00,1205.2,,,474.6,,,,,,,,,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,,6560.0,,,410.0,,7.30,7.30,,9.90,9.90,9.90,41462.5,0.00,,L,76857.0,,,,USBNC,,2025-01-04 17:30,-7,,,,,,,,,,,,,
2025-01-04 20:00,38° 03' N / 122° 17' W,Noon Maneuvering,8.00,80,,,,,,32.0,,10.0,80.00,5.00,1205.2,,,466.1,,,,,,,,,,,,,,,7.2,,1.2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,67.70,4204,214.1,8.00,,8.00,8.00,,1920.0,1920.0,,240.0,240.0,0.50,0.50,,10.12,10.12,10.12,41462.5,0.00,,L,76857.0,,,,,,2025-01-04 17:30,,N,3,,,,,0.4,,13.0,1024.0,,,1024
2025-01-04 22:18,BENICIA,Arrival,2.30,5,2.17,,,,,,,,5.00,,1205.2,,,463.9,,,,,,,,,,,,,,,1.7,,0.4,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,56.90,2496,296.1,2.30,,2.30,2.30,,506.0,506.0,,220.0,220.0,0.20,0.20,,10.12,10.12,10.12,41462.5,0.00,,L,78366.0,,,,,,2025-01-04 17:30,,,,,,,,,,,,,,
2025-01-05 22:00,BENICIA,Departure,23.70,,,,,,,270.0,,10.0,,2234.00,1205.2,,,435.2,,,,,,,,,,,,,,,,,3.5,,25.2,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.70,23.70,,9954.0,9954.0,,420.0,420.0,21.20,21.20,,5.90,8.10,7.00,0.0,2.20,,,51353.0,,,,MXSCX,,2025-01-16 04:00,-6,,,,,,,,,,,,,
