Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10946.02,48633,4.44,10.81,-0.22,0.05,,,,,49351.00,,,,,,,,,,,4240.9,1259.8,,,,2284.9,619.1,101.2,,18.9,,47.8,,66.3,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41034.0,74.10,5654,159.0,4752.92,7441.02,6266.88,3023.72,,,,359.6,355.1,339.9,7504.66,7504.66,474.70,8.79,9.78,9.28,33630.9,0.99,,,71417.6,,,,,,,,,,,,,,1.1,24.8,29.4,,,,
Good Wx.,,,3922.58,41920,10.69,10.79,-0.14,0.04,,,,,42473.00,,,,,,,,,,,3648.1,469.2,,,,428.1,217.5,101.2,,4.2,,4.3,,0.4,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34806.0,79.93,6314,161.0,3557.28,2219.90,2109.58,1162.38,,,,373.9,373.3,353.0,1221.48,1221.48,99.30,8.95,9.96,9.44,35173.7,1.02,,,72308.1,,,,,,,,,,,,,,1.2,24.8,28.8,,,,
Bad Wx.,,,401.80,4061,10.11,11.01,-1.08,0.18,,,,,4218.00,,,,,,,,,,,406.7,47.2,,,,89.6,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3936.0,81.15,6418,159.0,397.50,301.80,172.00,162.80,,,,363.5,344.2,328.4,165.80,165.80,,9.65,10.49,10.07,43140.3,0.84,,,76994.4,,,,,,,,,,,,,,3.3,21.7,29.0,,,,
2025-01-01 05:00,10° 31' N / 101° 06' E,Noon Maneuvering,5.02,0,,,,,,,,,,5.00,946.6,,,420.7,,,,,,,0.4,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,,,2259.0,,,450.0,5.02,5.02,,6.20,8.00,7.10,0.0,1.80,,B,54010.0,,,,THBEN,,2025-01-05 05:00,8,NE,4,,,,,0.5,,33.0,1015.0,,,1015
2025-01-02 05:00,10° 31' N / 101° 06' E,Noon Maneuvering,24.00,0,,,,,,,,,,10.00,940.8,,,420.7,,,,,,,2.6,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,10800.0,,,450.0,24.00,24.00,,6.20,8.00,7.10,0.0,1.80,,B,54010.0,,,,THBEN,,2025-01-05 05:00,8,NE,4,,,,,0.5,,34.0,1015.0,,,1015
2025-01-03 05:00,10° 31' N / 101° 06' E,Noon Maneuvering,24.00,0,,,,,,,,,,10.00,935.3,,,420.7,,,,,,,2.6,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,10800.0,,,450.0,24.00,24.00,,6.20,8.00,7.10,0.0,1.80,,B,54010.0,,,,THBEN,,2025-01-05 05:00,8,NE,4,,,,,0.5,,33.0,1015.0,,,1015
2025-01-04 05:00,10° 31' N / 101° 06' E,Noon Maneuvering,24.00,0,,,,,,,,,,10.00,929.9,,,420.7,,,,,,,2.6,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,10800.0,,,450.0,,24.00,24.00,,6.20,8.00,7.10,0.0,1.80,,B,54010.0,,,,THBEN,,2025-01-05 05:00,8,NE,4,,,,,0.5,,34.0,1015.0,,,1015
2025-01-05 04:30,10° 31' N / 101° 06' E,Heave Anchor,23.50,0,,,,,,90.0,,10.0,,10.00,924.3,,,420.7,,,,,,,2.8,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.50,,,10575.0,,,450.0,,23.50,23.50,,6.20,8.00,7.10,0.0,1.80,,B,54010.0,,,,THBEN,,2025-01-05 09:00,8,,,,,,,,,,,,,
2025-01-05 09:42,10° 31' N / 101° 06' E,Drop Anchor,5.20,6,,,,,,,,,6.00,,921.4,,,420.7,,,,,,1.7,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,35.00,3655,89.4,5.20,,5.20,5.20,,1560.0,1560.0,,300.0,300.0,5.20,5.20,,6.20,8.00,7.10,0.0,1.80,,B,54010.0,,,,THBEN,,2025-01-05 09:00,8,NE,5,,,,,1.5,,28.0,1015.0,,,1015
2025-01-06 01:42,10° 31' N / 101° 06' E,Heave Anchor,16.00,0,,,,,,90.0,,6.0,,10.00,917.6,,,420.7,,,,,,,1.8,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,,7200.0,,,450.0,,16.00,16.00,,6.20,8.00,7.10,0.0,1.80,,B,54010.0,,,,THBEN,,2025-01-06 05:00,8,,,,,,,,,,,,,
