Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10961.00,78256,7.14,11.66,-0.39,0.06,,,,,81811.40,,,,,,,,,,,4929.4,603.9,,,,268.3,,,,2671.8,,738.5,,1488.1,,96.4,,111.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63517.0,76.12,6085,178.9,6984.74,6210.75,4385.24,5728.55,,,,327.0,335.9,341.7,5846.85,5658.55,672.60,10.36,11.16,10.76,51234.9,0.80,,,86122.9,12.61,,,,,,,,,,,,,1.3,19.3,19.9,,,,
Good Wx.,,,5746.15,65427,11.39,11.60,-0.28,0.06,,,,,68308.60,,,,,,,,,,,4120.3,410.4,,,,81.9,,,,2151.0,,241.9,,151.0,,23.4,,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51980.0,79.08,6333,177.3,5593.33,2771.89,2286.21,2778.89,,,,322.6,330.9,348.7,1371.32,1367.82,4.50,10.38,11.19,10.79,51602.1,0.82,,,86512.1,12.64,,,,,,,,,,,,,1.4,21.3,21.0,,,,
Bad Wx.,,,837.95,9212,10.99,12.08,-1.14,0.05,,,,,9707.50,,,,,,,,,,,784.7,69.9,,,,7.8,,,,203.3,,27.7,,31.4,,,,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8245.0,80.80,6689,177.7,816.20,502.56,155.70,428.00,,,,361.4,332.3,339.0,260.73,260.73,,11.25,11.86,11.55,61635.5,0.62,,,93583.1,12.74,,,,,,,,,,,,,3.3,14.1,16.4,,,,
2025-01-01 12:00,25° 38' N / 020° 33' W,Noon At Sea,12.02,145,12.06,12.64,-0.44,-0.14,Y,14.0,,13.0,152.00,1802.00,751.0,,,581.0,,,,,,17.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,85.98,8055,175.6,12.02,,,12.02,,,5048.4,,,420.0,,,,14.90,14.90,14.90,101327.3,0.00,,L,124707.0,13.00,,,BEANR,AEFJR,2025-01-07 10:00,1,SE,7,,,,,3.0,,21.0,1018.0,,,1018
2025-01-02 12:00,30° 24' N / 019° 08' W,Noon At Sea,24.00,299,12.46,12.58,-0.13,0.01,Y,14.0,,13.0,319.00,1503.00,714.4,,,581.0,,,,,,33.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,87.10,8032,175.3,24.00,,,24.00,,,10080.0,,,420.0,,,,14.90,14.90,14.90,101327.3,0.00,,L,124707.0,13.00,,,BEANR,AEFJR,2025-01-07 11:00,1,S,6,,,,,2.0,,21.0,1020.0,,,1020
2025-01-03 12:00,35° 00' N / 017° 05' W,Destination Changed | Noon At Sea,24.00,294,12.25,12.53,-0.37,0.09,Y,28.0,,13.0,318.00,1209.00,676.9,,,580.7,,,,,,33.8,2.9,,,,0.8,,,,,,0.2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,87.99,8032,175.3,24.00,4.00,,24.00,1000.0,,9480.0,250.0,,395.0,3.00,3.00,,14.90,14.90,14.90,101327.3,0.00,,L,124707.0,13.00,,,BEANR,AEFJR,2025-01-08 07:00,1,S,5,,,,,2.5,,20.0,1020.0,,,1020
2025-01-04 12:00,39° 14' N / 014° 07' W,Destination Changed | Noon At Sea,24.00,290,12.08,12.67,-0.69,0.10,N,28.0,,13.0,307.00,1056.00,640.4,,,580.7,,,,,,33.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,87.02,8008,175.4,24.00,,,24.00,,,10080.0,,,420.0,,,,14.90,14.90,14.90,101327.3,0.00,,L,124707.0,13.00,,,BEANR,AEFJR,2025-01-07 16:00,1,S,6,,,,,5.0,,20.0,1012.0,,,1012
2025-01-05 12:00,43° 16' N / 010° 51' W,Noon At Sea,24.00,287,11.96,13.40,-1.42,-0.02,N,32.0,,13.0,307.00,632.00,603.8,,,580.7,,,,,,33.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,87.05,8031,175.4,24.00,,,24.00,,,10080.0,,,420.0,,,,14.90,14.90,14.90,101327.3,0.00,,L,124707.0,13.00,,,BEANR,AEFJR,2025-01-07 17:00,1,S,7,,,,,5.0,,18.0,994.0,,,994
2025-01-06 11:00,46° 10' N / 007° 50' W,Noon At Sea,23.00,212,9.22,10.94,-1.72,0.00,N,36.0,,13.0,248.00,420.00,573.6,,,580.7,,,,,,27.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,77.20,6818,175.4,23.00,,,23.00,,,9660.0,,,420.0,,,,14.90,14.90,14.90,101327.3,0.00,,L,124707.0,13.00,,,BEANR,AEFJR,2025-01-08 01:00,1,NW,8,,,,,7.5,,15.0,1002.0,,,1002
2025-01-07 07:45,48° 46' N / 005° 35' W,Begin Fuel Change Over,20.75,183,8.82,9.73,-0.95,0.04,N,,,,192.00,,548.2,,,580.7,,,,,,23.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,,,,,,14.90,14.90,14.90,101327.3,0.00,,L,124707.0,13.00,,,BEANR,AEFJR,2025-01-08 01:00,1,,,,,,,,,,,,,
