Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10961.17,91385,8.34,12.04,-0.48,0.01,,,,,91424.30,,,,,,,,,,,6191.6,740.5,,,,631.4,296.7,215.0,,1837.8,,798.1,,1199.5,,158.8,,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54388.0,62.91,5445,185.1,7868.31,8987.72,1731.98,1265.60,,,,595.4,570.1,516.7,5376.39,5376.39,,9.99,11.28,10.64,50011.3,1.29,,,90137.5,12.70,,,,,,,,,,,,,1.6,17.6,21.1,,,,
Good Wx.,,,6507.17,75700,11.63,12.01,-0.37,0.00,,,,,75644.40,,,,,,,,,,,5084.0,579.7,,,,448.5,263.0,151.9,,1485.6,,232.0,,156.7,,60.2,,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44166.3,65.25,5736,181.2,6266.70,5311.42,666.83,618.90,,,,608.8,611.9,563.3,1918.28,1918.28,,10.27,11.46,10.87,53371.9,1.19,,,92259.4,12.74,,,,,,,,,,,,,1.5,19.7,22.4,,,,
Bad Wx.,,,1137.14,12691,11.16,12.22,-1.15,0.09,,,,,12646.50,,,,,,,,,,,1087.2,114.8,,,,96.3,33.7,52.5,,132.9,,22.1,,5.2,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8375.0,65.34,6020,180.7,1114.24,1053.34,6.46,94.60,,,,575.3,525.1,511.7,285.66,285.66,,10.77,11.78,11.28,59866.3,1.02,,,96832.5,12.90,,,,,,,,,,,,,3.3,16.1,18.6,,,,
2025-01-01 18:00,27° 49' N / 096° 56' W,Noon At Stoppage,18.02,0,0.00,0.00,0.00,0.00,Y,,,,,1.00,1329.8,,,527.1,,,,,,,,,,,,,,,,,2.2,,1.9,,,,,,,,,,4.6,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,,,9370.4,,,520.0,,,18.02,18.02,,6.10,9.10,7.60,0.0,3.00,,B,60645.0,,,,USHOU,USCRP,2025-01-04 18:00,-6,NE,6,,,,,1.2,,18.0,1023.0,,,1023
2025-01-02 18:00,27° 49' N / 096° 56' W,Noon At Stoppage,24.00,0,0.01,0.01,0.00,0.00,Y,,,,,173.20,1329.8,,,521.5,,,,,,,,,,,,,,,,,3.1,,2.5,,,,,,,,,,7.7,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12480.0,,,520.0,,,24.00,24.00,,6.10,9.10,7.60,0.0,3.00,,B,60645.0,,,,USHOU,USCRP,2025-01-05 04:00,-6,NE,6,,,,,1.4,,20.0,1023.0,,,1023
2025-01-03 18:00,27° 49' N / 096° 56' W,Noon At Stoppage,24.00,0,0.00,0.00,0.00,0.00,Y,,,,,173.20,1329.8,,,515.9,,,,,,,,,,,,,,,,,3.1,,2.5,,,,,,,,,,10.8,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,14880.0,,,620.0,,,24.00,24.00,,6.10,9.10,7.60,0.0,3.00,,B,60645.0,,,,USHOU,USCRP,2025-01-05 04:00,-6,NE,3,,,,,0.5,,19.0,1025.0,,,1025
2025-01-04 12:12,27° 49' N / 096° 56' W,Heave Anchor (At Sea),18.20,0,0.02,0.12,-0.06,-0.04,Y,57.0,,12.5,,173.20,1329.8,,,511.8,,,,,,,,,,,,,,,,,2.3,,1.8,,,,,,,,,,13.1,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.20,,,11102.0,,,610.0,,,18.20,18.20,,6.10,9.10,7.60,0.0,3.00,,B,60645.0,,,,USHOU,USCRP,2025-01-05 04:00,-6,,,,,,,,,,,,,
2025-01-04 18:00,28° 15' N / 095° 57' W,Noon At Sea,5.80,60,10.28,10.67,-0.08,-0.31,Y,57.0,,12.5,61.70,112.50,1329.8,,,507.0,,,,,,,,,,,,,,,3.8,,0.7,,0.3,,,,,,,,,,13.8,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,56.30,3923,167.0,5.80,5.80,,,3422.0,,,590.0,,,5.80,5.80,,6.10,9.10,7.60,0.0,3.00,,B,60645.0,12.00,,,USHOU,USCRP,2025-01-05 04:00,-6,N,3,,,,,1.1,,22.0,1020.0,,,1020
2025-01-05 05:00,HOUSTON,End Of Sea Passage,11.00,104,9.48,9.94,-0.15,-0.31,Y,,,,107.00,,1329.8,,,498.4,,,,,,,,,,,,,,,6.7,,1.4,,0.5,,,,,,,,,,15.2,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.80,3224,188.9,11.00,11.00,,,6050.0,,,550.0,,,6.00,6.00,,6.10,9.10,7.60,0.0,3.00,,B,60645.0,12.00,,,,USCRP,2025-01-05 04:00,,S,5,,,,,1.0,,22.0,1013.0,,,1013
2025-01-05 11:18,HOUSTON,Arrival,6.30,51,8.16,,,,,,,,48.60,,1329.8,,,493.6,,,,,,,,,,,,,,,3.7,,0.8,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,50.80,3652,160.8,6.30,6.30,,6.30,2079.0,,2079.0,330.0,,330.0,6.30,6.30,,6.10,9.10,7.60,0.0,3.00,,B,60645.0,12.00,,,,,2025-01-05 04:00,,,,,,,,,,,,,,
