Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10956.01,83315,7.60,11.78,-0.71,0.00,,,,,82498.00,,,,,,,,,,,985.2,123.7,,,,342.8,280.7,3.5,,1018.4,,736.1,,2214.4,,572.1,,288.4,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,11.8,,,,,,,,,,,,,,,,,5929.6,1056.8,0.2,,,,,,,,49850.0,61.68,5698,357.3,7507.18,3388.73,6028.52,4286.96,,,,750.5,602.6,636.7,4904.00,4739.70,503.90,10.74,11.73,11.23,58815.5,0.99,,,95158.4,12.27,,,,,,,,,,,,,2.1,20.5,20.6,,,,
Good Wx.,,,5737.81,65608,11.43,11.84,-0.40,0.00,,,,,64949.30,,,,,,,,,,,779.2,85.9,,,,192.2,155.6,,,606.8,,102.0,,729.0,,250.2,,255.9,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,9.5,,,,,,,,,,,,,,,,,4552.2,786.6,0.2,,,,,,,,36296.3,64.66,5822,269.7,5552.24,1525.07,3279.83,2102.44,,,,849.9,609.2,602.8,1998.85,1917.35,249.00,11.14,11.96,11.55,63767.8,0.82,,,97617.8,12.25,,,,,,,,,,,,,2.0,21.7,21.9,,,,
Bad Wx.,,,1562.80,15252,9.76,11.58,-1.82,0.00,,,,,15183.00,,,,,,,,,,,202.8,20.2,,,,134.9,125.1,,,240.0,,45.1,,213.0,,128.8,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,1332.6,189.4,,,,,,,,,12073.0,64.45,7065,456.6,1551.50,487.29,484.35,708.84,,,,950.2,637.9,717.8,813.62,797.62,16.00,11.32,12.20,11.76,66053.5,0.88,,,100947.4,12.62,,,,,,,,,,,,,4.7,17.1,16.3,,,,
2025-01-01 03:48,HOUSTON,Arrival,3.82,49,12.83,,,,,,,,50.00,,4.0,,,341.5,,,1224.7,,,,,,,,,,,,1.9,,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,58.07,3507,141.8,3.82,3.82,3.82,,2101.0,2101.0,,550.0,550.0,,1.41,1.41,,6.20,9.00,7.60,0.0,2.80,,B,60295.0,14.00,,,,,2024-12-31 23:00,,,,,,,,,,,,,,
2025-01-01 18:00,HOUSTON,Noon In Port,14.20,,,,,,,,,,,,4.0,,,557.0,,,1224.7,,,,,,,,,,,,,,3.0,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.20,14.20,,7810.0,9230.0,,550.0,650.0,,8.00,8.00,,,,,,,,,,,,,,,,,SW,3,,,,,0.3,,18.0,1018.0,,,1018
2025-01-02 16:54,HOUSTON,Departure,22.90,,,,,,,173.0,,13.0,,5260.00,4.0,,,547.9,,,1224.7,,,,,,,,,,,,,,5.9,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.90,22.90,,12595.0,14885.0,,550.0,650.0,,14.00,14.00,,13.10,13.10,13.10,90116.0,0.00,,,114260.0,13.00,,,NLRTM,,2025-01-19 21:00,1,,,,,,,,,,,,,
2025-01-02 22:00,HOUSTON,Begin Of Sea Passage,5.10,45,8.82,,,,,130.0,,13.0,46.00,5260.00,4.0,,,541.0,,,1224.7,,,,,,,,,,,,5.7,,0.8,,0.4,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,48.86,3793,294.7,5.10,5.10,5.10,,2550.0,2448.0,,500.0,480.0,,1.50,1.50,,13.10,13.10,13.10,90116.0,0.00,,L,114260.0,13.00,,,ITAUG,,2025-01-19 21:00,1,S,5,,,,,1.0,,24.0,1027.0,,,1027
2025-01-03 15:00,26° 03' N / 093° 16' W,Begin Fuel Change Over,17.00,213,12.53,12.30,-0.15,0.38,Y,,,,213.00,,4.0,,,518.3,,,1224.7,,,,,,,,,,,,19.2,,3.0,,0.5,,,,,,,19.2,,,3.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,68.01,4503,250.8,17.00,,17.00,1.70,,12495.0,765.0,,735.0,450.0,,,,13.10,13.10,13.10,90116.0,0.00,,L,114260.0,13.00,,,ITAUG,USHOU,2025-01-19 21:00,1,,,,,,,,,,,,,
2025-01-03 17:00,25° 52' N / 092° 59' W,End Fuel Change Over,2.00,19,9.36,9.18,-0.07,0.25,Y,,,,21.00,,4.0,,,517.5,,,1223.2,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.3,,,,,,,,,10.0,68.01,4503,133.4,2.00,,2.00,0.20,,1470.0,90.0,,735.0,450.0,,,,13.10,13.10,13.10,90116.0,0.00,,L,114260.0,13.00,,,ITAUG,USHOU,2025-01-19 21:00,1,,,,,,,,,,,,,
2025-01-03 18:00,25° 49' N / 092° 45' W,Noon At Sea,1.00,13,12.74,12.58,-0.08,0.24,Y,105.0,,13.0,13.00,5013.00,4.0,,,517.5,,,1222.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.1,,,,,,,,,10.0,68.01,4503,199.9,1.00,,1.00,0.10,,735.0,45.0,,735.0,450.0,,,,13.10,13.10,13.10,90116.0,0.00,,L,114260.0,13.00,,,ITAUG,USHOU,2025-01-19 21:00,1,S,5,,,,,1.0,,25.0,1029.0,,,1029
