Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10957.02,83127,7.59,11.81,-0.54,-0.01,,,,,82140.30,,,,,,,,,,,5672.8,576.4,,,,200.6,105.4,,,1975.6,,653.4,,1285.8,,133.2,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45515.0,70.14,5735,183.6,7382.88,3747.24,5311.50,4134.81,,,,432.1,439.4,436.7,2767.97,2733.37,214.30,9.72,10.68,10.20,46957.9,0.96,,,89741.2,12.74,,,,,,,,,,,,,1.8,15.8,19.3,,,,
Good Wx.,,,5904.80,68128,11.54,11.93,-0.39,0.00,,,,,67272.40,,,,,,,,,,,4745.1,459.5,,,,92.8,63.7,,,1372.8,,159.7,,70.7,,7.1,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36291.5,72.55,6010,177.8,5707.20,1851.76,2489.53,1990.82,,,,469.8,459.9,441.5,382.49,381.59,0.90,9.69,10.66,10.17,46528.8,0.97,,,89444.1,12.75,,,,,,,,,,,,,1.9,17.7,21.7,,,,
Bad Wx.,,,1228.30,12162,9.90,11.25,-1.28,-0.07,,,,,12029.00,,,,,,,,,,,919.1,88.1,,,,42.4,37.7,,,378.1,,40.4,,9.1,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7698.0,71.61,5887,179.9,1228.30,333.86,493.37,445.09,,,,472.3,463.5,447.6,101.93,101.93,,10.49,11.28,10.89,56144.9,0.80,,,96171.3,12.87,,,,,,,,,,,,,3.6,10.2,13.2,,,,
2025-01-01 12:00,53° 41' N / 000° 35' E,Noon Maneuvering,12.02,15,,,,,,,,,15.00,25.00,1265.6,,,452.7,,,,,,,,,,,,,,,1.9,,1.3,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,10.04,1890,335.1,3.00,12.02,,,6430.7,,,535.0,,,3.51,3.51,,12.80,12.80,12.80,89175.7,0.00,,L,114681.0,12.50,,,GBIMM,,2025-01-02 16:00,1,SW,9,,6.0,N,1.00,5.5,,9.0,1003.0,10.00,,1003
2025-01-02 12:00,53° 41' N / 000° 35' E,Noon Maneuvering,24.00,34,,,,,,,,,34.00,25.00,1265.6,,,445.0,,,,,,,,,,,,,,,2.8,,2.5,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,47.17,2040,196.1,7.00,24.00,,,12840.0,,,535.0,,,7.80,7.80,,12.80,12.80,12.80,89175.7,0.00,,L,114681.0,12.50,,,GBIMM,,2025-01-03 04:30,1,NE,6,,3.5,N,1.00,3.0,,7.0,1015.0,10.00,,1015
2025-01-03 03:00,53° 41' N / 000° 35' E,End Waiting/Drifting,15.00,25,,,,,,180.0,,10.0,25.00,15.00,1265.6,,,439.7,,,,,,,,,,,,,,,2.2,,1.6,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,41.20,1930,190.0,6.00,15.00,,9.00,3975.0,,2385.0,265.0,,265.0,4.20,4.20,,12.80,12.80,12.80,89175.7,0.00,,L,114681.0,12.50,,,GBIMM,,2025-01-03 04:15,1,,,,,,,,,,,,,
2025-01-03 09:42,IMMINGHAM,Arrival,6.70,29,4.33,,,,,,,,29.00,,1265.6,,,434.9,,,,,,,,,,,,,,,3.5,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,41.64,1970,265.2,6.70,6.70,,6.70,1775.5,,1775.5,265.0,,265.0,2.10,2.10,,12.90,12.90,12.90,89175.7,0.00,,L,114681.0,12.50,,,,,2025-01-03 04:15,,,,,,,,,,,,,,
2025-01-03 12:00,IMMINGHAM,Noon In Port,2.30,,,,,,,,,,,,1265.6,,,434.5,,,,,,,,,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30,,2.30,575.0,,575.0,250.0,,250.0,0.70,0.70,,,,,,,,,,,,,,,,,NW,3,,1.5,N,0.50,1.0,,4.0,1018.0,10.00,,1018
2025-01-04 12:00,IMMINGHAM,Noon In Port,24.00,,,,,,,,,,,,1265.6,,,377.8,,,,,,,,,,,,,,,,,4.1,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,24.00,8400.0,,8400.0,350.0,,350.0,22.50,22.50,,,,,,,,,,,,,,,,,W,3,,1.5,N,0.50,1.0,,3.0,1015.0,10.00,,1015
2025-01-04 19:24,IMMINGHAM,Departure,7.40,,,,,,,91.0,,13.0,,5289.00,1265.6,,,372.9,,,,,,,,,,,,,,,,,0.9,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.40,,7.40,2590.0,,2590.0,350.0,,350.0,5.10,5.10,,6.30,8.30,7.30,0.0,2.00,,,62591.0,13.00,,,USHOU,,2025-01-24 18:00,-5,,,,,,,,,,,,,
