Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10971.92,66391,6.05,11.38,-0.26,0.00,,,,,67409.50,,,,,,,,,,,4250.8,692.2,,,,629.2,62.8,130.6,,1703.4,,543.4,,1154.1,,287.3,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41976.0,76.34,5476,180.8,5929.86,4155.18,6337.32,5499.05,,,,348.0,364.9,350.3,3411.34,3411.34,,9.17,10.19,9.68,38833.6,1.02,,,76039.1,12.64,,,,,,,,,,,,,1.2,25.2,23.2,,,,
Good Wx.,,,5239.62,58727,11.21,11.45,-0.23,-0.01,,,,,59055.20,,,,,,,,,,,3899.0,388.9,,,,259.8,62.1,120.2,,1440.5,,176.2,,179.0,,101.9,,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35506.0,82.90,6168,178.8,4852.62,1709.20,3046.53,2071.21,,,,354.8,387.6,368.0,769.09,769.09,,9.71,10.54,10.13,45747.0,0.83,,,79880.8,12.63,,,,,,,,,,,,,1.4,27.1,24.2,,,,
Bad Wx.,,,281.58,2607,9.26,10.13,-0.98,0.10,,,,,2810.00,,,,,,,,,,,231.1,19.3,,,,4.5,,,,33.0,,9.2,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784.0,77.80,5937,174.2,235.38,91.50,199.08,45.00,,,,341.9,374.5,302.7,33.52,33.52,,9.91,10.64,10.27,47785.7,0.73,,,80889.6,12.74,,,,,,,,,,,,,3.3,13.4,17.4,,,,
2025-01-01 18:00,18° 46' N / 093° 08' W,Noon Maneuvering,18.02,,,,,,,,,,,7.00,968.7,,,503.0,,,,,,,0.9,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,,,6307.0,,,350.0,8.26,8.26,,6.10,8.10,7.10,0.0,2.00,,B,54190.0,14.00,,,MXDBT,,2025-01-02 22:00,-6,ENE,3,,,,,0.5,,28.0,1015.0,,,1015
2025-01-02 18:00,18° 46' N / 093° 08' W,Noon Maneuvering,24.00,,,,,,,,,,,7.00,963.0,,,503.0,,,,,,,2.3,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,8400.0,,,350.0,11.00,11.00,,6.10,8.10,7.10,0.0,2.00,,B,54190.0,14.00,,,MXDBT,,2025-01-03 22:00,-6,NE,3,,,,,0.9,,27.0,1018.0,,,1018
2025-01-03 18:00,18° 46' N / 093° 08' W,Noon Maneuvering,24.00,,,,,,,,,,,7.00,957.4,,,503.0,,,,,,,2.3,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,9240.0,,,385.0,11.00,11.00,,6.10,8.10,7.10,0.0,2.00,,B,54190.0,14.00,,,MXDBT,,2025-01-05 22:00,-6,E,4,,,,,1.3,,23.0,1020.0,,,1020
2025-01-04 18:00,18° 46' N / 093° 08' W,Noon Maneuvering,24.00,,,,,,,,,,,9.00,951.8,,,503.0,,,,,,,2.3,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,8760.0,,,365.0,12.00,12.00,,6.10,8.10,7.10,0.0,2.00,,B,54190.0,14.00,,,MXDBT,,2025-01-05 15:00,-6,E,5,,,,,1.5,,24.0,1021.0,,,1021
2025-01-05 17:00,18° 46' N / 093° 08' W,Heave Anchor,23.00,,,,,,,156.0,,5.0,,9.00,946.3,,,503.0,,,,,,,2.4,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,,,8855.0,,,385.0,13.00,13.00,,6.10,8.10,7.10,0.0,2.00,,B,54190.0,14.00,,,MXDBT,,2025-01-05 18:30,-6,,,,,,,,,,,,,
2025-01-05 18:00,18° 43' N / 093° 09' W,Noon Maneuvering,1.00,3,,,,,,156.0,,4.0,3.10,6.00,945.7,,,503.0,,,,,,0.2,0.2,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,46.60,1000,200.0,1.00,,1.00,1.00,,350.0,350.0,,350.0,350.0,1.00,1.00,,6.10,8.10,7.10,0.0,2.00,,B,54190.0,14.00,,,,,2025-01-05 18:30,,E,3,,,,,0.9,,26.0,1022.0,,,1022
2025-01-05 19:42,DOS BOCAS,Arrival,1.70,6,3.53,,,,,,,,6.70,,945.0,,,503.0,,,,,,0.2,0.3,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,27.41,685,171.8,1.70,,1.70,1.70,,595.0,595.0,,350.0,350.0,1.00,1.00,,6.10,8.10,7.10,0.0,2.00,,B,54190.0,14.00,,,,,2025-01-05 18:30,,,,,,,,,,,,,,
