Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10954.02,74107,6.77,12.30,-0.55,0.02,,,,,74245.60,,,,,,,,,,,5946.4,803.9,,,,621.7,106.1,90.0,,2011.6,,668.6,,1212.4,,50.2,,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43401.0,78.17,6677,178.4,6598.77,4830.44,5692.42,5290.94,,,,438.8,417.4,425.7,5076.63,4909.90,616.60,9.40,10.44,9.92,45419.8,1.05,,,79012.6,12.43,,,,,,,,,,,,,1.5,15.4,27.3,,,,
Good Wx.,,,5006.30,60968,12.18,12.54,-0.39,0.03,,,,,60928.90,,,,,,,,,,,5034.4,460.6,,,,156.3,52.0,67.2,,1306.8,,182.3,,50.4,,6.7,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32923.0,82.66,7125,178.5,4966.10,2009.35,2242.49,2472.67,,,,457.9,415.4,439.9,611.96,590.46,21.50,9.94,10.81,10.38,53899.7,0.87,,,81999.2,12.49,,,,,,,,,,,,,1.4,18.3,29.0,,,,
Bad Wx.,,,960.92,9280,9.66,11.06,-1.37,-0.03,,,,,9359.00,,,,,,,,,,,851.1,75.3,,,,10.1,7.4,,,342.8,,47.6,,36.5,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6719.0,81.12,7124,176.4,949.92,306.32,511.00,511.57,,,,385.9,396.7,436.7,139.50,139.50,,10.65,11.48,11.06,56308.2,0.83,,,89717.0,12.60,,,,,,,,,,,,,4.2,13.7,38.0,,,,
2025-01-01 17:00,13° 01' N / 077° 02' W,Noon At Sea,17.02,238,13.99,14.53,-0.33,-0.21,Y,161.0,,13.5,240.00,210.00,1072.5,,,324.7,,,,,,25.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,91.06,8800,171.6,17.02,17.02,,2.13,9361.0,,649.6,550.0,,305.0,,,,11.75,11.75,11.75,73794.8,0.00,,L,95364.3,13.50,,,COMAM,USMSY,2025-01-02 11:00,-5,E,4,,,,,1.5,,31.0,1015.0,,,1015
2025-01-02 09:00,MAMONAL,End Of Sea Passage,16.00,182,11.38,12.76,-0.53,-0.85,Y,,,,210.00,,1049.3,,,324.7,,,,,,21.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,83.97,7300,181.5,16.00,2.00,16.00,,610.0,9040.0,,305.0,565.0,,,,,11.75,11.75,11.75,73794.8,0.00,,L,95364.3,13.50,,,,USMSY,2025-01-02 11:00,,NE,5,,,,,2.0,,31.0,1013.0,,,1013
2025-01-02 12:00,10° 18' N / 075° 33' W,Drop Anchor,3.00,14,,,,,,,,,16.00,,1047.7,,,324.6,,,,,,0.8,0.5,,,,0.3,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,41.18,1550,184.3,2.80,3.00,,3.00,1110.0,,1095.0,370.0,,365.0,3.00,3.00,,11.75,11.75,11.75,73794.8,0.00,,L,95364.3,13.50,,,COMAM,,2025-01-02 11:00,-5,NE,5,,,,,1.5,,28.0,1014.0,,,1014
2025-01-02 16:36,10° 18' N / 075° 33' W,Heave Anchor,4.60,0,,,,,,28.0,,5.0,,4.00,1046.8,,,324.6,,,,,,,0.4,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,4.60,305.0,,2346.0,305.0,,510.0,4.60,4.60,,11.75,11.75,11.75,73794.8,0.00,,L,95364.3,13.50,,,COMAM,,2025-01-02 11:00,-5,,,,,,,,,,,,,
2025-01-02 17:00,10° 18' N / 075° 33' W,Noon Maneuvering,0.40,2,,,,,,75.0,,5.0,2.00,2.00,1046.5,,,324.6,,,,,,0.2,0.1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,47.96,1360,275.7,0.40,,0.40,0.40,,162.0,166.0,,405.0,415.0,0.40,0.40,,11.75,11.75,11.75,73794.8,0.00,,L,95364.3,13.50,,,,,2025-01-02 11:00,,NE,4,,,,,1.0,,30.0,1014.0,,,1014
2025-01-02 20:00,MAMONAL,Arrival,3.00,2,0.67,,,,,,,,2.00,,1045.5,,,324.6,,,,,,0.2,0.5,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,27.67,1810,184.2,0.60,,3.00,3.00,,1035.0,1050.0,,345.0,350.0,3.00,3.00,,11.75,11.75,11.75,73794.8,0.00,,L,95364.3,13.50,,,,,2025-01-02 11:00,,,,,,,,,,,,,,
2025-01-03 17:00,MAMONAL,Noon In Port,21.00,,,,,,,,,,,,1016.0,,,324.6,,,,,,,4.0,,,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,,21.00,8925.0,,8715.0,425.0,,415.0,21.00,21.00,18.00,,,,,,,,,,,,,,,,N,3,,,,,0.2,,32.0,1015.0,,,1015
