Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10962.02,62768,5.73,11.47,-0.24,0.03,,,,,62071.60,,,,,,,,,,,5152.2,1316.6,,,,1788.7,160.4,37.9,,478.7,,218.3,,731.5,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33397.2,73.16,4759,211.0,5581.50,6022.99,5012.32,6491.50,,,,388.8,345.1,366.3,3264.66,2909.66,680.30,8.82,10.08,9.45,32308.3,1.26,,,73351.8,14.00,,,,,,,,,,,,,0.9,27.2,24.6,,,,
Good Wx.,,,5190.74,58504,11.27,11.46,-0.21,0.02,,,,,57882.50,,,,,,,,,,,4879.8,682.5,,,,491.0,124.8,37.9,,313.7,,43.8,,47.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30348.0,75.13,4940,207.5,5077.05,2638.95,2522.77,3294.91,,,,378.2,334.3,363.2,849.39,813.79,35.70,9.28,10.45,9.87,37107.3,1.17,,,77139.0,14.00,,,,,,,,,,,,,1.1,27.2,24.8,,,,
Bad Wx.,,,181.90,1973,10.85,11.76,-1.08,0.17,,,,,1925.00,,,,,,,,,,,160.2,17.3,,,,22.6,22.5,,,66.4,,8.0,,5.4,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.0,78.47,5852,223.8,181.90,75.40,58.09,140.85,,,,338.1,349.6,430.0,61.73,52.43,9.30,11.66,11.98,11.82,67585.1,0.32,,,94557.0,,,,,,,,,,,,,,3.9,22.2,20.4,,,,
2025-01-01 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,15.02,0,,,,,,,,,,34.10,1847.5,,,499.3,,,,,,,1.6,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02,,,7059.4,,,470.0,5.63,5.63,,6.00,8.50,7.25,0.0,2.50,,B,53425.0,,,,ARPRS,,2025-01-06 13:00,-3,E,9,,,,,0.3,,21.0,1008.0,,,1008
2025-01-02 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,24.00,0,,,,,,,,,,34.10,1840.5,,,499.3,,,,,,,2.6,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11251.2,,,468.8,9.00,9.00,,6.00,8.50,7.25,0.0,2.50,,B,53425.0,,,,ARPRS,,2025-01-06 13:00,-3,S,5,,,,,0.5,,18.0,1010.0,,,1010
2025-01-03 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,24.00,0,,,,,,,,,,34.10,1832.3,,,499.3,,,,,,,2.7,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,21.00,,1750.0,8400.0,,350.0,400.0,9.00,1.00,8.00,6.00,8.50,7.25,0.0,2.50,,B,53425.0,,,,ARPRS,,2025-01-06 13:00,-3,S,4,,,,,0.5,,17.0,1015.0,,,1015
2025-01-04 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,24.00,0,,,,,,,,,,34.10,1825.2,,,499.3,,,,,,,2.6,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,24.00,,1400.0,9600.0,,350.0,400.0,10.00,10.00,,6.00,8.50,7.25,0.0,2.50,,B,53425.0,,,,ARPRS,,2025-01-06 13:00,-3,E,4,,,,,0.5,,20.0,1017.0,,,1017
2025-01-05 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,24.00,0,,,,,,,,,,34.10,1817.6,,,499.3,,,,,,,2.8,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,23.00,,350.0,10810.0,,350.0,470.0,9.00,9.00,,6.00,8.50,7.25,0.0,2.50,,B,53425.0,,,,ARPRS,,2025-01-06 13:00,-3,NE,4,,,,,0.5,,18.0,1013.0,,,1013
2025-01-06 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,24.00,0,,,,,,,,,,34.10,1811.4,,,499.3,,,,,,,2.5,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,9360.0,,,390.0,11.00,11.00,,6.00,8.50,7.25,0.0,2.50,,B,53425.0,,,,ARPRS,,2025-01-06 17:00,-3,NE,4,,,,,0.5,,18.0,1013.0,,,1013
2025-01-07 15:00,39° 18' S / 061° 32' W,Destination Change (Maneuvering) | Noon Maneuvering,24.00,0,,,,,,270.0,,10.0,,34.10,1805.0,,,499.3,,,,,,,2.6,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,10800.0,,,450.0,12.00,12.00,,6.00,8.50,7.25,0.0,2.50,,B,53425.0,,,,SBM CIGUENA,,2025-01-08 17:00,-3,N,5,,,,,0.5,,24.0,1010.0,,,1010
