Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10967.72,54300,4.95,11.21,-0.33,0.03,,,,,54421.80,,,,,,,,,,,4212.9,1057.2,,,,1013.6,268.0,78.6,,832.2,,664.0,,1376.9,,555.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,48288.0,76.03,5128,195.0,4832.10,8337.32,4677.55,1316.68,,,,518.2,514.9,514.0,7822.53,7798.03,181.60,8.53,9.74,9.14,22925.0,1.21,,,53513.1,12.39,,,,,,,,,,,,,0.9,23.6,22.7,,,,
Good Wx.,,,4163.70,45976,11.04,11.30,-0.28,0.03,,,,,45996.80,,,,,,,,,,,3709.3,518.7,,,,401.7,241.0,73.0,,579.0,,83.2,,88.1,,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,39420.0,80.78,5599,193.9,3871.33,3000.00,1676.20,246.50,,,,516.6,518.6,525.1,1361.24,1361.24,,8.65,9.78,9.22,23118.7,1.13,,,53796.2,12.30,,,,,,,,,,,,,1.5,25.0,24.7,,,,
Bad Wx.,,,359.45,3341,9.29,10.10,-0.83,0.02,,,,,3322.60,,,,,,,,,,,273.7,42.3,,,,28.8,14.3,1.4,,54.4,,10.2,,7.6,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3379.0,73.02,4622,198.4,343.55,243.45,145.20,69.20,,,,520.0,509.0,495.4,120.20,120.20,,7.81,9.37,8.59,15226.1,1.55,,,49997.1,12.38,,,,,,,,,,,,,2.4,17.4,14.5,,,,
2025-01-01 17:00,20° 46' N / 084° 25' W,Noon At Sea,17.02,214,12.60,12.34,-0.09,0.35,Y,311.0,,13.0,215.10,809.20,676.9,,,402.2,,,,,,21.1,2.1,,,,,,,,,,,,,,,,,89.8,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,86.20,6215,199.5,17.02,17.02,,,8850.4,,,520.0,,,,,,12.20,12.20,12.20,54491.1,0.00,,L,73334.0,13.00,,,USCRP,,2025-01-04 09:00,-6,NE,4,,,,,0.5,,29.0,1025.0,,,1025
2025-01-02 18:00,24° 05' N / 088° 58' W,Noon At Sea,25.00,323,12.91,12.71,-0.23,0.43,Y,297.0,,13.0,315.80,486.80,641.8,,,402.2,,,,,,29.6,3.0,,,,2.5,2.5,,,,,,,,,,,,119.4,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,86.00,6215,190.5,25.00,25.00,,,13000.0,,,520.0,,,3.00,3.00,,12.20,12.20,12.20,54491.1,0.00,,L,73334.0,13.00,,,USCRP,,2025-01-04 09:00,-6,NE,5,,,,,0.5,,27.0,1031.0,,,1031
2025-01-03 06:48,25° 19' N / 091° 38' W,Begin Fuel Change Over,12.80,164,12.81,12.34,-0.09,0.56,Y,,,,162.00,,615.8,,,402.2,,,,,,14.6,1.5,,,,9.9,9.9,,,,,,,,,,,,134.0,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,87.40,6328,180.2,12.80,12.80,,,6656.0,,,520.0,,,12.80,12.80,,12.20,12.20,12.20,54491.1,0.00,,L,73334.0,13.00,,,USCRP,,2025-01-04 09:00,-6,,,,,,,,,,,,,
2025-01-03 14:00,26° 01' N / 093° 07' W,End Fuel Change Over,7.20,90,12.57,12.88,-0.07,-0.24,Y,,,,92.80,,614.6,,,388.0,,,,,,1.2,,,,,,,,,8.7,,0.9,,4.6,,4.6,,,135.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,87.40,6328,217.3,7.20,7.20,,,3744.0,,,520.0,,,7.20,7.20,,12.20,12.20,12.20,54491.1,0.00,,L,73334.0,13.00,,,USCRP,,2025-01-04 09:00,-6,,,,,,,,,,,,,
2025-01-03 18:00,26° 23' N / 093° 56' W,Noon At Sea,4.00,49,12.15,12.86,-0.04,-0.67,Y,297.0,,13.0,47.60,183.80,614.6,,,378.5,,,,,,,,,,,,,,,5.4,,0.5,,3.6,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,87.40,6328,213.3,4.00,4.00,,,2080.0,,,520.0,,,4.00,4.00,,12.20,12.20,12.20,54491.1,0.00,,L,73334.0,13.00,,,USCRP,,2025-01-04 09:00,-6,E,4,,,,,0.5,,24.0,1031.0,,,1031
2025-01-04 09:30,CORPUS CHRISTI,End Of Sea Passage,15.50,177,11.43,11.69,-0.04,-0.22,Y,,,,187.40,,614.6,,,341.2,,,,,,,,,,,,,,,21.1,,1.8,,14.4,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,83.50,6102,223.1,15.50,15.50,,,8060.0,,,520.0,,,15.50,15.50,,12.20,12.20,12.20,54491.1,0.00,,L,73334.0,13.00,,,,,2025-01-04 09:00,,NE,4,,,,,0.5,,19.0,1028.0,,,1028
2025-01-04 10:15,27° 48' N / 096° 54' W,Drop Anchor,0.75,5,,,,,,,,,5.10,,614.6,,,340.0,,,,,,,,,,,,,,,0.2,,0.2,,0.8,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,57.30,1550,172.0,0.75,0.75,0.75,,390.0,390.0,,520.0,520.0,,0.75,0.75,,12.20,12.20,12.20,54491.1,0.00,,L,73334.0,13.00,,,USCRP,,2025-01-04 09:00,-6,NE,3,,,,,0.0,,18.0,1028.0,,,1028
