Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,2200.02,12080,5.49,10.63,-0.28,-0.02,,,,,12470.40,,,,,,,,,,,781.4,138.7,,,,178.6,91.8,,,444.0,,168.6,,319.5,,63.7,,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10835.0,83.57,6782,179.9,971.14,1922.52,719.79,4.00,,,,499.9,487.1,500.0,981.80,973.80,24.00,9.22,10.03,9.63,29370.1,0.82,,,57338.4,12.54,,,,,,,,,,,,,0.6,23.2,23.8,,,,
Good Wx.,,,1027.88,10528,10.24,10.52,-0.28,0.01,,,,,10914.00,,,,,,,,,,,744.6,92.1,,,,103.5,79.5,,,351.7,,42.5,,55.4,,0.4,,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9132.9,88.29,7479,179.4,816.58,846.40,294.66,,,,,500.0,500.1,,299.86,299.86,,9.37,10.08,9.73,30941.6,0.71,,,57866.4,12.42,,,,,,,,,,,,,0.7,24.4,25.2,,,,
Bad Wx.,,,46.70,570,12.22,13.09,-0.25,-0.62,,,,,598.60,,,,,,,,,,,23.2,2.4,,,,10.0,10.0,,,35.7,,3.9,,3.6,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.0,86.55,6699,187.8,46.70,46.70,4.70,,,,,500.0,500.0,,22.70,22.70,,10.10,10.30,10.20,39554.3,0.20,,,61699.3,12.64,,,,,,,,,,,,,0.4,24.4,25.2,,,,
2026-01-01 11:00,38° 18' N / 007° 15' E,Noon At Sea,11.02,132,11.98,11.67,-0.13,0.44,Y,76.0,,12.0,136.50,111.60,427.3,,,409.7,,,,,,,,,,,,,,,12.1,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,82.00,5754,190.8,11.02,11.02,,,5510.0,,,500.0,,,,,,13.70,13.70,13.70,64978.8,0.00,,L,83570.0,10.50,,,ITPFX,BRAJU,2026-01-01 22:00,1,W,3,W,0.3,N,0.40,0.3,18.0,16.0,1025.0,8.00,,1025
2026-01-01 19:30,SARROCH,End Of Sea Passage,8.50,101,11.92,12.04,-0.09,-0.03,Y,,,,105.10,,427.3,,,400.4,,,,,,,,,,,,,,,8.4,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,84.60,5754,171.8,8.50,8.50,,,4250.0,,,500.0,,,,,,13.70,13.70,13.70,64978.8,0.00,,L,83570.0,10.50,,,,BRAJU,2026-01-01 22:00,,W,3,W,0.3,N,0.30,0.3,18.0,16.0,1024.0,8.00,,1024
2026-01-01 21:06,39° 05' N / 009° 05' E,Drop Anchor,1.60,7,,,,,,,,,8.50,,427.3,,,399.3,,,,,,,,,,,,,,,0.5,,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,49.40,1980,157.8,1.60,1.60,,1.60,800.0,,800.0,500.0,,500.0,1.00,1.00,,13.70,13.70,13.70,64978.8,0.00,,L,83570.0,10.50,,,ITPFX,,2026-01-01 22:00,1,W,3,N,0.0,N,0.20,0.2,17.0,18.0,1023.0,0.00,,1023
2026-01-02 11:00,39° 05' N / 009° 05' E,Noon Maneuvering,13.90,0,,,,,,,,,,2.70,886.9,,,592.5,,,,,,,,,,,,,,,,,1.5,,1.9,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.90,,,6950.0,,,500.0,,,2.00,2.00,,13.70,13.70,13.70,64978.8,0.00,,L,83570.0,10.50,,,ITPFX,,2026-01-02 14:00,1,W,3,N,0.0,N,0.30,0.2,17.0,17.0,1025.0,0.00,,1025
2026-01-02 12:06,39° 05' N / 009° 05' E,Heave Anchor,1.10,0,,,,,,270.0,,4.0,,2.70,886.9,,,592.2,,,,,,,,,,,,,,,,,0.1,,0.2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,,,550.0,,,500.0,,,1.10,1.10,,13.70,13.70,13.70,64978.8,0.00,,L,83570.0,10.50,,,ITPFX,,2026-01-02 14:00,1,,,,,,,,,,,,,
2026-01-02 14:30,SARROCH,Arrival,2.40,3,1.12,,,,,,,,2.80,,886.9,,,590.4,,,,,,,,,,,,,,,0.2,,0.5,,1.1,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,39.80,1220,163.9,1.00,2.40,,2.40,1200.0,,1200.0,500.0,,500.0,2.40,2.40,,13.70,13.70,13.70,64978.8,0.00,,L,83570.0,10.50,,,,,2026-01-02 14:00,,,,,,,,,,,,,,
2026-01-03 11:00,SARROCH,Noon In Port,20.50,,,,,,,,,,,,886.9,,,566.6,,,,,,,,,,,,,,,,,4.1,,19.7,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.50,20.50,,10250.0,10250.0,,500.0,500.0,,20.50,20.50,,,,,,,,,,,,,,,,,W,3,N,0.0,N,0.20,0.2,17.0,17.0,1023.0,0.00,,1023
