Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10950.52,55831,5.10,11.45,-0.26,-0.05,,,,,57989.40,,,,,,,,,,,4290.8,777.7,20.3,,,717.6,213.5,178.0,,1074.1,,783.4,,1301.4,,333.4,,102.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,123.6,,,258.7,74.7,5.5,,,,,,,,,,,,,,,,,,,,47738.0,78.14,5761,196.9,5028.42,7781.01,4153.22,3436.63,,,,490.6,457.8,456.8,6921.00,6710.57,477.63,9.44,10.34,9.89,29898.6,0.89,,,58007.0,12.39,,,,,,,,,,,,,1.1,26.7,27.1,,,,
Good Wx.,,,4363.26,48998,11.23,11.51,-0.24,-0.04,,,,,50740.20,,,,,,,,,,,3926.8,451.2,17.3,,,344.8,190.9,146.7,,744.9,,106.6,,74.8,,26.2,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,121.8,,,243.2,27.0,3.2,,,,,,,,,,,,,,,,,,,,40963.0,81.58,5983,197.8,4215.36,3186.52,977.82,1203.85,,,,507.7,468.7,467.5,1175.36,1153.54,23.10,10.62,11.26,10.94,38989.6,0.64,,,63598.4,12.45,,,,,,,,,,,,,1.6,27.6,28.1,,,,
Bad Wx.,,,239.50,2274,9.49,10.38,-0.67,-0.22,,,,,2528.60,,,,,,,,,,,174.7,21.7,3.0,,,19.8,7.5,12.3,,47.1,,7.4,,13.6,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,10.5,1.1,2.3,,,,,,,,,,,,,,,,,,,,2119.0,79.55,5967,181.1,215.40,191.50,18.58,75.88,,,,473.9,397.8,515.8,94.20,79.59,17.43,9.05,10.11,9.58,24993.0,1.06,,,56662.5,12.36,,,,,,,,,,,,,4.0,23.9,26.5,,,,
2025-01-01 00:00,CORPUS CHRISTI,End Of Sea Passage,0.02,0,0.50,0.91,-0.21,-0.20,,,,,,,700.2,,,350.0,,149.4,,,,,,,,,,,,,7.4,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,84.92,5537,66823.2,0.02,0.02,0.01,,11.0,1.5,,550.0,150.0,,,,,12.00,12.50,12.25,55676.3,0.50,,L,75928.0,13.00,,,,,2025-01-01 01:00,,NW,4,,,,,1.0,,26.0,1026.0,,,1026
2025-01-01 01:00,27° 47' N / 096° 53' W,Drop Anchor,1.00,8,,,,,,,,,8.40,,700.2,,,349.3,,149.4,,,,,,,,,,,,,0.5,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.50,3005,166.4,1.00,1.00,1.00,,330.0,330.0,,330.0,330.0,,,,,12.00,12.50,12.25,55676.3,0.50,,L,75928.0,13.00,,,USCRP,,2025-01-01 01:00,-6,NW,4,,,,,1.0,,26.0,1023.0,,,1023
2025-01-01 18:00,27° 47' N / 096° 53' W,Noon Maneuvering,17.00,,,,,,,,,,,31.00,700.2,,,346.0,,149.4,,,,,,,,,,,,,,,2.2,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,3.50,,6750.0,1078.0,,450.0,308.0,,17.00,17.00,,12.00,12.50,12.25,55676.3,0.50,,L,75928.0,13.00,,,USCRP,,2025-01-02 18:00,-6,N,5,,,,,1.5,,16.0,1031.0,,,1031
2025-01-02 18:00,27° 47' N / 096° 53' W,Noon Maneuvering,24.00,,,,,,,,,,,31.00,700.2,,,331.0,,149.4,,,,,,,,,,,,,,,3.0,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12000.0,,,500.0,24.00,24.00,,12.00,12.50,12.25,55676.3,0.50,,L,75928.0,13.00,,,USCRP,,2025-01-03 00:00,-6,S,5,,,,,1.5,,16.0,1031.0,,,1031
2025-01-02 23:00,27° 47' N / 096° 53' W,Heave Anchor,5.00,,,,,,,85.0,,13.0,,352.00,700.2,,,327.0,,149.4,,,,,,,,,,,,,,,1.0,,3.0,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10,,5.00,777.0,,2750.0,370.0,,550.0,5.00,5.00,,12.00,12.50,12.25,55676.3,0.50,,L,75928.0,13.00,,,USCRP,,2025-01-05 00:00,-6,,,,,,,,,,,,,
2025-01-03 04:24,CORPUS CHRISTI,Arrival,5.40,31,5.67,,,,,,,,35.30,,700.2,,,321.8,,149.4,,,,,,,,,,,,,3.0,,1.4,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,72.78,2800,198.4,5.40,5.40,,5.40,2430.0,,2430.0,450.0,,450.0,5.40,5.40,,12.00,12.50,12.25,55676.3,0.50,,L,75928.0,13.00,,,,,2025-01-05 00:00,,,,,,,,,,,,,,
2025-01-04 04:24,CORPUS CHRISTI,Departure,24.00,,,,,,,85.0,,13.0,,352.00,700.2,,,540.5,,149.4,,,,,,,,,,,,,,,6.3,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,22.10,3.40,10800.0,9945.0,1530.0,450.0,450.0,450.0,24.00,24.00,,9.20,9.70,9.45,35403.0,0.50,,,57388.9,13.00,,,USPOA,,2025-01-05 14:00,-6,,,,,,,,,,,,,
