Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10948.01,70083,6.40,12.87,-0.33,-0.01,,,,,72286.10,,,,,,,,,,,5620.1,1147.9,,,,1156.5,264.9,32.0,,756.8,,410.6,,593.5,,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,48015.0,80.26,5314,208.6,5799.67,10410.81,2446.81,426.62,,,,609.6,441.4,418.9,6846.15,6644.75,564.00,9.44,10.38,9.91,28549.1,0.94,,,58820.0,12.77,,,,,,,,,,,,,1.1,27.0,32.6,,,,
Good Wx.,,,5047.57,63423,12.57,12.87,-0.29,-0.01,,,,,65446.80,,,,,,,,,,,5152.9,585.4,,,,387.2,194.6,29.0,,579.2,,74.2,,19.8,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,42734.0,84.48,5666,203.4,5004.37,4754.27,623.74,135.50,,,,630.9,461.6,470.1,1317.13,1317.13,,10.35,11.12,10.73,35667.9,0.77,,,63853.1,12.79,,,,,,,,,,,,,1.4,27.9,38.3,,,,
Bad Wx.,,,311.66,3686,11.83,12.92,-1.08,-0.02,,,,,3915.90,,,,,,,,,,,334.9,33.7,,,,54.7,40.1,,,37.7,,4.9,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.0,84.47,5895,203.2,311.66,271.66,61.47,,,,,637.8,555.0,,106.39,106.39,,11.05,11.67,11.36,40484.5,0.62,,,63565.4,12.61,,,,,,,,,,,,,2.4,25.8,21.0,,,,
2025-01-01 16:00,16° 06' N / 074° 49' W,Noon At Sea,16.02,223,13.92,14.60,-0.34,-0.34,Y,118.0,,13.0,220.00,699.30,932.5,,,403.0,,,,,,19.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,86.00,5780,208.4,16.02,16.02,,,8650.8,,,540.0,,,,,,11.80,11.80,11.80,51458.3,0.00,,L,71404.0,12.50,,,VEJOT,USHOU,2025-01-03 22:00,-4,E,4,,,,,1.5,,29.0,1012.0,,,1012
2025-01-02 16:00,13° 44' N / 070° 15' W,Noon At Sea,24.00,301,12.54,13.44,-0.53,-0.37,Y,118.0,,13.0,298.00,398.30,900.5,,,403.0,,,,,,29.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0,86.00,5901,204.8,24.00,24.00,,,14640.0,,,610.0,,,,,,11.80,11.80,11.80,51458.3,0.00,,L,71404.0,12.50,,,VEJOT,USHOU,2025-01-03 23:00,-4,E,4,,,,,1.5,,29.0,1011.0,,,1011
2025-01-03 16:00,11° 12' N / 066° 26' W,Noon At Sea,24.00,283,11.78,12.26,-0.26,-0.22,Y,122.0,,13.0,281.40,115.60,871.4,,,403.0,,,,,,26.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,86.00,5201,208.3,24.00,24.00,,,14880.0,,,620.0,,,,,,11.80,11.80,11.80,51458.3,0.00,,L,71404.0,12.50,,,VEJOT,USHOU,2025-01-04 04:01,-4,E,6,,,,,1.5,,28.0,1011.0,,,1011
2025-01-04 04:01,JOSE TERMINAL,End Of Sea Passage,12.02,115,9.55,9.97,-0.10,-0.32,Y,,,,122.90,,861.8,,,403.0,,,,,,7.5,1.7,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,75.00,2500,249.6,12.02,12.02,,,6490.8,,,540.0,,,12.02,12.02,,11.80,11.80,11.80,51458.3,0.00,,L,71404.0,12.50,,,,USHOU,2025-01-04 04:01,,ESE,5,,,,,1.5,,26.0,1010.0,,,1010
2025-01-04 05:00,10° 12' N / 064° 46' W,Drop Anchor,0.98,2,,,,,,,,,2.10,,861.3,,,403.0,,,,,,0.2,0.2,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34.40,1380,147.9,0.98,0.98,0.98,,441.0,392.0,,450.0,400.0,,0.98,0.98,,11.80,11.80,11.80,51458.3,0.00,,L,71404.0,12.50,,,VEJOT,,2025-01-04 04:01,-4,ENE,3,,,,,1.0,,26.0,1012.0,,,1012
2025-01-04 16:00,10° 12' N / 064° 46' W,Heave Anchor,11.00,,,,,,,250.0,,6.0,,4.70,859.0,,,403.0,,,,,,,1.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,1.00,,5830.0,520.0,,530.0,520.0,,11.00,11.00,,11.80,11.80,11.80,51458.3,0.00,,L,71404.0,12.50,,,VEJOT,,2025-01-04 17:30,-4,,,,,,,,,,,,,
2025-01-04 18:36,JOSE TERMINAL,Arrival,2.60,5,1.81,,,,,,,,5.20,,858.1,,,403.0,,,,,,0.4,0.4,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,45.00,1750,228.6,1.00,2.60,2.60,,1352.0,1170.0,,520.0,450.0,,2.60,2.60,,11.80,11.80,11.80,51458.3,0.00,,L,71404.0,12.50,,,,,2025-01-04 17:30,,,,,,,,,,,,,,
