Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10948.02,53717,4.91,11.01,-0.35,-0.05,,,,,53542.80,,,,,,,,,,,4077.3,1080.5,122.1,,,1438.2,400.6,148.0,,324.2,,210.6,,378.7,,46.7,,1.2,,,,,,,,,,,,,,,,,,,,,,,,0.1,,11.2,,,,682.0,,,,,94.9,10.0,,,,,,,42.2,,,,,,,,,,,37.0,37003.4,75.87,4921,223.4,4904.12,5415.02,7396.29,4325.05,,,,357.2,375.6,363.6,5209.67,4735.72,952.59,9.22,10.13,9.67,30371.8,0.91,,,57337.7,13.00,,,,,,,,,,,,,1.1,26.0,24.8,,,,
Good Wx.,,,4293.56,46108,10.74,11.04,-0.23,-0.07,,,,,46180.30,,,,,,,,,,,3537.5,446.0,78.2,,,354.2,256.6,58.4,,247.9,,34.1,,17.6,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,8.7,,,,611.2,,,,,43.6,6.2,,,,,,,,,,,,,,,,,,37.0,32165.4,78.31,5251,203.1,4124.17,2062.27,2778.23,1863.24,,,,361.9,373.3,362.8,996.89,945.95,79.44,10.07,10.81,10.44,35349.8,0.74,,,62412.3,13.00,,,,,,,,,,,,,1.3,27.5,26.0,,,,
Bad Wx.,,,494.62,4695,9.49,10.78,-1.40,0.13,,,,,4681.30,,,,,,,,,,,405.4,57.8,7.0,,,103.3,52.0,9.6,,20.4,,3.2,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,2855.0,76.83,5040,209.1,464.62,257.13,364.04,225.52,,,,360.9,397.2,286.6,170.03,170.02,0.02,9.41,10.39,9.90,30342.4,0.99,,,58912.4,13.00,,,,,,,,,,,,,3.3,27.3,23.5,,,,
2025-01-01 00:48,37° 51' N / 070° 27' W,End Fuel Change Over,0.82,7,8.41,8.86,-0.44,-0.01,N,,,,7.50,,845.8,,,238.1,,,,,,,,,,,,,,,0.8,,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.52,5792,179.0,0.82,0.13,0.74,0.82,32.5,185.0,205.0,250.0,250.0,250.0,0.03,0.02,0.02,13.00,13.00,13.00,59833.1,0.00,,L,79445.0,13.00,,,USNYC,BQEUX,2025-01-01 19:00,-5,,,,,,,,,,,,,
2025-01-01 17:00,40° 00' N / 073° 07' W,Noon At Sea,16.20,180,11.12,11.63,-0.43,-0.08,Y,322.0,,13.0,161.10,41.00,845.8,,,219.8,,,,,,,,,,,,,,,16.5,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,81.52,5792,175.8,16.20,2.50,14.72,16.20,625.0,3680.0,4050.0,250.0,250.0,250.0,0.68,0.34,0.34,13.00,13.00,13.00,59833.1,0.00,,L,79445.0,13.00,,,USNYC,BQEUX,2025-01-01 23:00,-5,W,6,,,,,2.5,,12.0,1013.0,,,1013
2025-01-01 23:00,NEW YORK,End Of Sea Passage,6.00,40,6.60,6.86,-0.27,0.01,N,,,,36.10,,845.8,,,215.7,,,,,,,,,,,,,,,3.4,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,62.63,2753,216.6,5.70,,6.00,6.00,,1500.0,1500.0,,250.0,250.0,,,,13.00,13.00,13.00,59833.1,0.00,,L,79445.0,13.00,,,,BQEUX,2025-01-01 23:00,,W,6,,,,,2.5,,8.0,1008.0,,,1008
2025-01-02 03:00,NEW YORK,Arrival,4.00,22,5.42,,,,,,,,18.70,,845.8,,,213.3,,,,,,,,,,,,,,,1.6,,0.5,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,62.28,1642,360.9,2.70,,4.00,4.00,,1080.0,1080.0,,270.0,270.0,4.00,4.00,,13.00,13.00,13.00,59833.1,0.00,,L,79445.0,13.00,,,,,2025-01-01 23:00,,,,,,,,,,,,,,
2025-01-02 17:00,NEW YORK,Noon In Port,14.00,,,,,,,,,,,,845.8,,,202.3,,,,,,,,,,,,,,,,,3.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14.00,14.00,4289.6,4289.6,4289.6,306.4,306.4,306.4,14.00,14.00,14.00,,,,,,,,,,,,,,,,W,4,,,,,1.0,,5.0,1012.0,,,1012
2025-01-03 08:42,NEW YORK,Departure,15.70,,,,,,,70.0,,8.0,,10.00,845.8,,,191.8,,,,,,,,,,,,,,,,,2.8,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.70,15.70,15.70,2699.6,4449.4,4449.4,310.3,283.4,283.4,15.70,8.70,7.70,11.60,11.60,11.60,47853.4,0.00,,,69158.0,,,,USNYC,,2025-01-04 07:00,-5,,,,,,,,,,,,,
2025-01-03 12:00,40° 29' N / 073° 38' W,Drop Anchor,3.30,28,,,,,,,,,25.50,,845.8,,,188.9,,,,,,,,,,,,,,,2.2,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,64.84,3161,224.5,3.10,,3.30,3.30,,891.0,891.0,,270.0,270.0,3.30,3.30,,11.60,11.60,11.60,47853.4,0.00,,,69158.0,13.00,,,USNYC,,2025-01-04 07:00,-5,W,5,,,,,2.0,,3.0,1014.0,,,1014
