Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10961.02,59600,5.44,11.18,-0.27,0.08,,,,,58268.50,,,,,,,,,,,4201.9,974.1,,,,922.5,448.3,4.4,,580.0,,428.3,,704.1,,105.0,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48988.5,74.21,4613,207.3,4945.15,3417.22,6950.41,4492.87,,,,330.2,381.8,350.0,6657.92,6564.42,909.45,8.16,9.39,8.78,21527.7,1.23,,,51289.8,11.35,,,,,,,,,,,,,0.8,23.1,26.1,,,,
Good Wx.,,,5096.16,55882,10.97,11.16,-0.27,0.08,,,,,54486.90,,,,,,,,,,,4066.8,587.8,,,,410.7,335.7,4.4,,444.8,,68.3,,59.1,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45163.3,77.22,4944,202.1,4535.44,1057.79,3509.75,1840.37,,,,344.5,432.7,364.7,1144.81,1120.38,24.93,8.27,9.61,8.95,22150.9,1.33,,,52520.8,11.48,,,,,,,,,,,,,1.2,24.1,26.2,,,,
Bad Wx.,,,87.30,1031,11.81,12.17,-0.56,0.20,,,,,1024.70,,,,,,,,,,,67.2,8.9,,,,,,,,17.0,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.0,75.19,4963,193.9,87.30,36.36,40.46,36.55,,,,294.2,452.0,325.6,0.14,0.07,0.07,6.50,8.35,7.43,6376.8,1.85,,,42972.6,12.43,,,,,,,,,,,,,1.4,24.1,26.2,,,,
2025-01-01 04:00,SHEKOU,Noon In Port,4.02,0,,,,,,,,,,,48.4,,,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,N,2,,,,,0.0,,21.0,1020.0,,,1020
2025-01-02 04:00,SHEKOU,Noon In Port,24.00,,,,,,,,,,,,48.4,,,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,N,2,,,,,0.0,,21.0,1020.0,,,1020
2025-01-03 04:00,SHEKOU,Noon In Port,24.00,,,,,,,,,,,,48.0,,,292.4,,,,,,,0.4,,,,0.0,,,,,,4.0,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24.00,,11872.8,10867.2,,494.7,452.8,,9.83,5.50,4.33,,,,,,,,,10.00,,,,,,,NE,2,,,,,0.5,,17.0,1012.0,,,1012
2025-01-04 04:00,SHEKOU,Noon In Port,24.00,,,,,,,,,,,,48.0,,,287.7,,,,,,,,,,,,,,,,,2.5,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,9873.6,,,411.4,,,24.00,24.00,,,,,,,,,,10.00,,,,,,,NNE,2,,,,,0.0,,20.0,1015.0,,,1015
2025-01-05 04:00,SHEKOU,Noon In Port,24.00,,,,,,,,,,,,47.9,,,283.0,,,,,,,,,,,0.1,,,,,,2.5,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,9897.6,,,412.4,,,24.00,24.00,,,,,,,,,,10.00,,,,,,,NE,2,,,,,0.0,,21.0,1010.0,,,1010
2025-01-06 04:00,SHEKOU,Noon In Port,24.00,,,,,,,,,,,,47.9,,,278.0,,,,,,,,,,,,,,,,,2.6,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,9897.6,,,412.4,,,24.00,24.00,,,,,,,,,,10.00,,,,,,,NNE,3,,,,,0.0,,24.0,1012.0,,,1012
2025-01-07 04:00,SHEKOU,Noon In Port,24.00,,,,,,,,,,,,47.9,,,272.9,,,,,,,,,,,,,,,,,2.7,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,9902.4,,,412.6,,,24.00,24.00,,,,,,,,,,10.00,,,,,,,S,3,,,,,0.0,,24.0,1015.0,,,1015
