Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10952.02,65985,6.02,11.81,-0.29,-0.06,,,,,67813.20,,,,,,,,,,,4554.9,989.6,,,,796.9,226.8,16.2,,798.5,,391.5,,772.6,,281.7,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,42077.0,74.11,4657,240.3,5714.03,4488.99,6433.85,6736.19,,,,281.2,326.8,349.0,3506.88,3325.50,426.00,8.92,9.99,9.45,26319.6,1.06,,,55398.4,12.34,,,,,,,,,,,,,1.1,27.0,29.9,,,,
Good Wx.,,,4914.32,56471,11.49,11.82,-0.27,-0.05,,,,,57796.30,,,,,,,,,,,4051.4,521.4,,,,246.5,213.0,11.0,,574.2,,79.6,,75.2,,60.6,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34937.9,77.14,5002,246.1,4697.92,1620.31,2739.32,3036.26,,,,262.5,338.6,372.8,782.82,764.02,18.80,9.38,10.32,9.85,30685.1,0.94,,,57735.6,12.37,,,,,,,,,,,,,1.4,27.6,32.7,,,,
Bad Wx.,,,221.60,2343,10.57,11.48,-0.69,-0.22,,,,,2524.00,,,,,,,,,,,187.2,21.4,,,,2.3,,,,37.0,,5.9,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.0,75.89,4952,203.7,221.60,67.68,54.23,196.69,,,,260.7,309.2,384.3,,,,12.22,12.37,12.29,54236.9,0.15,,,72876.6,12.41,,,,,,,,,,,,,2.7,23.9,23.6,,,,
2025-01-01 17:00,20° 41' N / 084° 02' W,Noon At Sea,17.02,217,12.75,12.57,-0.09,0.27,Y,313.0,,13.0,215.00,553.00,571.1,,,759.8,,,,,,20.7,2.0,,,,,,,,,,,,,,,,,78.7,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,84.22,6330,192.1,17.02,,,17.02,,,8009.6,,,470.6,,,,11.80,11.80,11.80,50526.0,0.00,,L,69227.0,12.00,,,USPEF,PACTB,2025-01-03 17:00,-5,NE,4,,,,,1.5,,31.0,1031.0,,,1031
2025-01-02 17:00,23° 29' N / 082° 11' W,Noon At Sea,24.00,295,12.29,12.19,-0.22,0.32,Y,82.0,,13.0,295.00,258.00,545.4,,,759.8,,,,,,23.1,2.6,,,,,,,,,,,,,,,,,101.8,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,79.58,5420,177.6,24.00,3.00,,24.00,800.1,,11246.4,266.7,,468.6,,,,11.80,11.80,11.80,50526.0,0.00,,L,69227.0,12.00,,,USPEF,PACTB,2025-01-03 17:00,-5,NNE,6,,,,,2.0,,30.0,1034.0,,,1034
2025-01-03 09:30,25° 14' N / 079° 35' W,Begin Fuel Change Over,16.50,194,11.76,11.01,-0.19,0.94,Y,,,,190.00,,530.9,,,759.8,,,,,,12.1,2.4,,,,,,,,,,,,,,,,,113.9,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,64.39,3751,195.5,16.50,16.50,1.50,16.50,5113.4,360.0,5090.2,309.9,240.0,308.5,2.25,1.50,0.75,11.80,11.80,11.80,50526.0,0.00,,L,69227.0,12.00,,,USPEF,PACTB,2025-01-03 17:00,-5,,,,,,,,,,,,,
2025-01-03 13:00,25° 55' N / 079° 39' W,End Fuel Change Over,3.50,41,11.71,9.96,-0.05,1.80,Y,,,,40.00,,530.9,,,755.2,,,,,,,,,,,,,,,3.2,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,64.39,3751,243.7,3.50,3.50,0.32,3.50,1084.6,76.8,1079.8,309.9,240.0,308.5,0.48,0.32,0.16,11.80,11.80,11.80,50526.0,0.00,,L,69227.0,12.00,,,USPEF,PACTB,2025-01-03 17:00,-5,,,,,,,,,,,,,
2025-01-03 15:00,PORT EVERGLADES,End Of Sea Passage,2.00,16,8.00,7.58,-0.04,0.46,Y,,,,15.00,,530.9,,,754.1,,,,,,,,,,,,,,,0.6,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,64.39,3751,80.0,2.00,2.00,0.18,2.00,619.8,43.2,617.0,309.9,240.0,308.5,0.27,0.18,0.09,11.80,11.80,11.80,50526.0,0.00,,L,69227.0,12.00,,,,PACTB,2025-01-03 17:00,,NW,4,,,,,1.0,,23.0,1038.0,,,1038
2025-01-03 16:42,26° 07' N / 080° 04' W,Drop Anchor,1.70,10,,,,,,,,,10.00,,530.9,,,753.5,,,,,,,,,,,,,,,0.2,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,39.22,676,173.9,1.70,1.70,,1.70,480.9,,491.0,282.9,,288.8,1.00,1.00,,11.80,11.80,11.80,50526.0,0.00,,L,69227.0,12.00,,,USPEF,,2025-01-03 17:00,-5,NW,3,,,,,1.0,,25.0,1038.0,,,1038
2025-01-03 17:00,26° 07' N / 080° 04' W,Noon Maneuvering,0.30,0,,,,,,,,,,5.00,530.9,,,753.3,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,0.30,163.0,,157.0,543.3,,523.3,0.30,0.30,,11.80,11.80,11.80,50526.0,0.00,,L,69227.0,12.00,,,USPEF,,2025-01-06 18:00,-5,NW,3,,,,,1.0,,25.0,1038.0,,,1038
