Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10967.32,64792,5.91,12.22,-0.39,-0.01,,,,,65535.40,,,,,,,,,,,4227.9,961.7,206.3,,,1238.0,451.0,87.2,,157.9,,195.5,,304.0,,92.0,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,2.3,,1045.3,,,,,295.0,31.2,,,,,,2.0,120.9,,,,,,,,,,,107.5,36741.0,77.53,5493,182.1,5326.14,4266.05,6605.21,4079.98,,,,432.4,422.5,392.0,8199.41,7787.53,1251.63,9.15,10.10,9.63,27328.8,0.94,,,57006.8,12.73,,,,,,,,,,,,,1.1,23.9,30.2,,,,
Good Wx.,,,4660.50,55466,11.90,12.24,-0.30,-0.04,,,,,56011.20,,,,,,,,,,,3596.1,421.0,150.4,,,298.6,217.7,73.6,,101.1,,14.9,,15.7,,1.0,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,1008.3,,,,,170.6,31.2,,,,,,,,,,,,,,,,,,102.9,23535.5,81.18,5845,180.3,4458.09,1994.70,2844.64,1182.24,,,,456.9,447.3,402.2,2844.72,2710.31,575.87,9.99,10.71,10.35,34115.9,0.72,,,61734.2,12.73,,,,,,,,,,,,,1.4,25.2,27.5,,,,
Bad Wx.,,,498.40,5534,11.10,12.06,-1.29,0.33,,,,,5636.50,,,,,,,,,,,485.8,51.8,7.2,,,114.0,106.4,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,,,,,3.3,,,,,,,,,,,,,,,,,,,,2997.0,82.20,6385,178.4,449.98,42.03,280.99,259.12,,,,426.9,474.3,447.0,414.00,414.00,,10.81,11.29,11.05,40588.6,0.48,,,66103.9,12.73,,,,,,,,,,,,,2.3,25.0,24.5,,,,
2025-01-01 16:00,11° 57' N / 069° 01' W,Noon At Stoppage,16.02,50,3.13,1.70,-0.01,1.44,Y,,,,57.00,1884.00,899.8,,,308.7,,161.5,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,1.6,,,,6.8,,,,,,,,,,,,,,,,,66.76,5056,267.7,1.33,,1.78,16.02,,441.3,7036.0,,247.9,439.2,16.02,16.02,,6.00,8.00,7.00,0.0,2.00,,B,40237.0,13.00,,,COCVE,VEJOT,2025-01-07 18:00,-5,E,5,,,,,1.0,,28.0,1021.0,,,1021
2025-01-02 16:00,12° 16' N / 069° 19' W,Noon At Stoppage,24.00,27,1.12,0.39,0.00,0.73,Y,,,,27.00,1857.00,899.8,,,308.7,,157.3,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11373.6,,,473.9,24.00,24.00,,6.00,8.00,7.00,0.0,2.00,,B,40237.0,13.00,,,COCVE,VEJOT,2025-01-08 18:00,-5,NE,5,,,,,1.0,,28.0,1021.0,,,1021
2025-01-03 16:00,12° 46' N / 069° 53' W,Noon At Stoppage,24.00,55,2.29,1.78,-0.03,0.54,Y,,,,55.00,1808.00,899.8,,,308.7,,151.8,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,1.8,,,,11.9,,,,,,,,,,,,,,,,,64.84,4635,178.4,1.33,,2.00,24.00,,490.0,11073.6,,245.0,461.4,24.00,24.00,,6.00,8.00,7.00,0.0,2.00,,B,40237.0,13.00,,,COCVE,VEJOT,2025-01-09 18:00,-5,E,5,,,,,1.0,,28.0,1021.0,,,1021
2025-01-04 16:00,13° 13' N / 070° 48' W,Noon At Stoppage,24.00,61,2.54,2.56,-0.05,0.03,Y,,,,61.00,1750.00,899.8,,,308.7,,147.6,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,14.4,,,,,,,,,,,,,,,,6.0,,,,,,,24.00,,,11385.6,,,474.4,24.00,24.00,,6.00,8.00,7.00,0.0,2.00,,B,40237.0,13.00,,,COCVE,VEJOT,2025-01-09 18:00,-5,E,5,,,,,1.0,,28.0,1021.0,,,1021
2025-01-05 16:00,13° 22' N / 072° 10' W,Noon At Stoppage,24.00,80,3.33,2.72,-0.10,0.71,N,,,,80.00,1678.00,899.8,,,308.7,,143.4,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11121.6,,,463.4,24.00,24.00,,6.00,8.00,7.00,0.0,2.00,,B,40237.0,13.00,,,COCVE,VEJOT,2025-01-10 18:00,-5,NE,5,,,,,2.0,,28.0,1021.0,,,1021
2025-01-06 16:00,13° 14' N / 073° 10' W,Noon At Stoppage,24.00,80,3.32,3.04,-0.12,0.40,Y,,,,81.00,1596.00,899.8,,,308.7,,137.4,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,1.6,,,,19.5,,,,,,,,,,,,,,,,8.0,76.75,4720,208.4,1.83,,2.08,24.00,,468.2,11580.0,,225.1,482.5,24.00,24.00,,6.00,8.00,7.00,0.0,2.00,,B,40237.0,13.00,,,COCVE,VEJOT,2025-01-10 18:00,-5,NE,5,,,,,1.0,,28.0,1020.0,,,1020
2025-01-06 17:00,13° 12' N / 073° 12' W,Destination Changed,1.00,2,2.18,2.35,-0.08,-0.09,Y,232.0,,12.0,2.00,307.00,899.8,,,308.7,,137.4,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,1.00,,,491.5,,,491.5,1.00,1.00,,6.00,8.00,7.00,0.0,2.00,,B,40237.0,13.00,,,COCVE,VEJOT,2025-01-11 16:30,-5,,,,,,,,,,,,,
