Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10955.02,62372,5.69,11.93,-0.49,-0.02,,,,,64809.50,,,,,,,,,,,4067.7,1111.5,235.6,,,1141.6,386.7,49.9,,616.2,,284.9,,428.2,,101.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,726.3,,,,,265.6,29.4,,,,,,31.8,146.0,,,,,,,,,,,40.2,30840.9,72.56,5026,192.6,5504.20,6832.23,6687.25,4779.19,,,,351.4,360.1,333.0,7379.31,6571.90,1486.20,8.62,9.75,9.19,22965.8,1.13,,,58628.2,12.45,,,,,,,,,,,,,1.4,26.0,34.8,,,,
Good Wx.,,,4280.10,49738,11.62,11.97,-0.33,-0.02,,,,,51923.10,,,,,,,,,,,3216.7,495.9,86.7,,,340.0,245.7,21.4,,410.8,,60.0,,24.6,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,635.4,,,,,36.2,6.4,,,,,,,,,,,,,,,,,,23.7,23779.3,76.30,5422,187.3,4211.50,2704.11,2453.64,2395.68,,,,351.8,352.6,328.1,1678.90,1549.29,201.30,9.27,10.19,9.73,29063.0,0.93,,,61477.5,12.51,,,,,,,,,,,,,1.3,26.0,47.6,,,,
Bad Wx.,,,686.50,7014,10.22,11.69,-1.48,0.01,,,,,7372.70,,,,,,,,,,,610.2,92.4,7.3,,,145.4,96.1,,,46.2,,5.3,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,46.5,,,,,9.4,,,,,,,,,,,,,,,,,,,9.1,3871.0,74.15,5288,198.0,686.50,501.60,411.29,358.91,,,,338.3,326.3,344.6,388.69,388.69,,9.90,10.55,10.22,35442.3,0.65,,,65868.6,12.62,,,,,,,,,,,,,3.7,19.9,18.9,,,,
2025-01-01 17:00,45° 37' N / 073° 28' W,Heave Anchor,17.02,,,,,,,30.0,,12.5,,3516.00,1025.9,,,307.0,,,,,,,,,,,,,,,,,3.1,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.02,17.02,,5446.4,5446.4,,320.0,320.0,,17.02,17.02,,10.30,10.30,10.30,43495.0,0.00,,,60640.5,12.50,,,NLRTM,,2025-01-13 14:00,1,,,,,,,,,,,,,
2025-01-02 17:00,48° 46' N / 068° 13' W,Noon Maneuvering,24.00,303,,,,,,50.0,,12.5,304.00,3211.00,1025.9,,,270.5,,,,,,,,,,,,,,,30.8,,3.6,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,78.26,6800,188.7,24.00,24.00,24.00,,7680.0,7680.0,,320.0,320.0,,24.00,24.00,0.20,10.30,10.30,10.30,43495.0,0.00,,,60640.5,12.50,,,,,2025-01-13 14:00,,NE,4,,,,,0.6,,-2.0,1014.0,,,1014
2025-01-02 17:12,MONTREAL,Begin Of Sea Passage,0.20,2,12.50,,,,,45.0,,12.5,2.60,3208.00,1025.9,,,269.7,,,,,,,,,,,,,,,0.7,,0.1,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,68.90,5800,603.4,0.20,0.20,0.20,,64.0,64.0,,320.0,320.0,,,,,10.30,10.30,10.30,43495.0,0.00,,L,60640.5,12.50,,,USHOU,,2025-01-13 14:00,-6,NE,4,,,,,0.6,,-2.0,1014.0,,,1014
2025-01-03 17:00,48° 01' N / 061° 04' W,Noon At Sea,23.80,310,13.03,13.49,-0.42,-0.04,Y,151.0,,12.5,308.00,2898.00,1025.9,,,235.4,,,,,,,,,,,,,,,29.2,,3.6,,1.5,,,,,,,29.2,,,3.6,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,83.07,7300,168.1,23.80,23.80,23.80,,7140.0,7140.0,,300.0,300.0,,23.80,23.80,,10.30,10.30,10.30,43495.0,0.00,,L,60640.5,12.50,,,USHOU,CAMTR,2025-01-13 14:00,-6,NE,5,,,,,1.0,,0.0,1004.0,,,1004
2025-01-04 17:00,44° 25' N / 060° 53' W,Destination Changed,24.00,294,12.25,13.14,-0.98,0.09,Y,151.0,,12.5,295.00,2579.00,1025.9,,,202.6,,,,,,,,,,,,,,,27.5,,3.5,,1.8,,,,,,,56.7,,,7.1,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,79.34,6900,166.1,24.00,24.00,4.20,2.10,10800.0,1050.0,525.0,450.0,250.0,250.0,19.50,19.50,,10.30,10.30,10.30,43495.0,0.00,,L,60640.5,12.50,,,USHOU,CAMTR,2025-01-13 16:00,-6,,,,,,,,,,,,,
2025-01-05 10:40,40° 53' N / 062° 19' W,Begin Fuel Change Over,17.67,219,12.39,14.62,-2.25,0.02,N,,,,220.00,,1025.9,,,178.7,,,,,,,,,,,,,,,20.7,,2.5,,0.7,,,,,,,77.4,,,9.6,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,79.34,6900,169.8,17.67,17.67,3.09,1.55,7951.5,772.5,387.5,450.0,250.0,250.0,14.35,14.35,,10.30,10.30,10.30,43495.0,0.00,,L,60640.5,12.50,,,USHOU,CAMTR,2025-01-13 16:00,-6,,,,,,,,,,,,,
2025-01-05 11:40,40° 46' N / 062° 29' W,End Fuel Change Over,1.00,10,10.21,14.04,-3.61,-0.22,N,,,,10.50,,1025.5,,,177.7,,,,,,0.3,0.1,,,,,,,,0.7,,0.2,,0.1,,,,,,,78.1,,,9.8,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,79.34,6900,144.9,1.00,1.00,0.17,0.09,450.0,42.5,22.5,450.0,250.0,250.0,0.81,0.81,,10.30,10.30,10.30,43495.0,0.00,,L,60640.5,12.50,,,USHOU,CAMTR,2025-01-13 16:00,-6,,,,,,,,,,,,,
