Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10967.27,69456,6.33,12.07,-0.49,0.04,,,,,69923.80,,,,,,,,,,,4632.8,1482.9,,,0.4,1713.2,457.3,95.0,,822.0,,473.2,,510.4,,125.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,35396.0,73.89,5072,177.9,6036.76,7230.94,5356.42,8180.81,,,,362.8,381.0,370.0,5953.28,5719.88,577.60,8.74,9.96,9.35,24346.1,1.23,,,56321.3,12.38,,,,,,,,,,,,,1.5,22.8,23.9,,,,
Good Wx.,,,4970.27,58721,11.81,12.14,-0.38,0.06,,,,,59056.70,,,,,,,,,,,4140.0,784.1,,,0.4,454.0,255.4,65.8,,410.7,,91.0,,70.9,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,29308.0,75.29,5294,176.7,4851.02,3084.57,2550.15,3684.08,,,,347.4,369.9,361.4,1605.37,1550.37,75.00,9.28,10.39,9.84,28574.2,1.11,,,59429.3,12.31,,,,,,,,,,,,,1.7,23.8,24.5,,,,
Bad Wx.,,,714.76,7288,10.20,11.60,-1.29,-0.11,,,,,7379.00,,,,,,,,,,,389.4,75.4,,,,65.4,57.9,,,215.8,,59.3,,49.7,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016.0,73.43,4986,175.7,693.46,334.64,507.81,453.59,,,,408.3,424.8,408.4,250.53,246.53,4.00,8.58,9.92,9.25,21098.3,1.34,,,55714.6,12.53,,,,,,,,,,,,,3.5,19.2,12.1,,,,
2025-01-01 06:30,09° 46' N / 081° 43' E,Noon At Sea,6.52,78,11.96,13.85,-0.85,-1.04,Y,345.0,,13.0,78.00,230.00,998.5,,,311.8,,,,,,6.7,1.4,,,,3.0,3.0,,,,,,,,,,,,126.7,,,17.9,,,,,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,83.00,6543,157.0,6.52,6.52,,6.52,2282.0,,2282.0,350.0,,350.0,5.70,5.70,,11.20,13.20,12.20,46303.7,2.00,,L,74747.0,13.00,,,INKAT,INNSA,2025-01-02 02:30,6,N,6,,,,,2.0,,29.0,1001.0,,,1001
2025-01-02 02:00,KATTUPALLI,End Of Sea Passage,19.50,224,11.49,12.82,-0.27,-1.06,Y,,,,230.00,,973.6,,,311.8,,,,,,21.5,2.8,,,,0.6,,,,,,,,,,,,,148.2,,,20.7,,,,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,82.50,6322,174.4,19.50,19.50,,19.50,6825.0,,6825.0,350.0,,350.0,2.00,2.00,,11.20,13.20,12.20,46303.7,2.00,,L,74747.0,13.00,,,,INNSA,2025-01-02 02:30,,N,6,,,,,2.0,,29.0,1004.0,,,1004
2025-01-02 05:30,KATTUPALLI,Arrival,3.50,10,2.86,,,,,,,,10.00,,971.7,,,311.8,,,,,,0.5,0.5,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,69.80,2980,209.7,0.80,3.50,,3.50,1225.0,,1225.0,350.0,,350.0,2.00,2.00,,11.20,13.20,12.20,46303.7,2.00,,L,74747.0,13.00,,,,,2025-01-02 02:30,,,,,,,,,,,,,,
2025-01-04 06:12,KATTUPALLI,Departure,48.70,,,,,,,145.0,,13.5,,8660.00,897.2,,,311.8,,,,,,,11.0,,,,63.5,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.70,10.00,48.70,17045.0,3500.0,17045.0,350.0,350.0,350.0,48.70,35.00,46.00,6.20,8.20,7.20,0.0,2.00,,,41077.0,13.50,,,ARPRS,,2025-02-01 02:00,-3,,,,,,,,,,,,,
2025-01-04 06:30,13° 18' N / 080° 21' E,Noon Maneuvering,0.30,1,,,,,,90.0,,13.5,1.00,8666.00,897.0,,,311.8,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.60,3250,102.6,0.30,0.19,0.30,0.30,85.5,165.0,165.0,450.0,550.0,550.0,0.30,0.30,,6.20,8.20,7.20,0.0,2.00,,,41077.0,13.50,,,,,2025-02-01 02:00,,N,4,,,,,0.5,,31.0,1005.0,,,1005
2025-01-04 07:00,KATTUPALLI,Begin Of Sea Passage,0.50,6,12.00,,,,,145.0,,13.5,6.00,8660.00,896.1,,,311.8,,,,,,0.6,0.2,,,,0.1,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.60,3250,369.2,0.50,0.31,0.50,0.50,139.5,275.0,275.0,450.0,550.0,550.0,0.50,0.50,,6.20,8.20,7.20,0.0,2.00,,B,41077.0,13.50,,,ARBHI,,2025-02-01 02:00,-3,N,4,,,,,0.5,,31.0,1005.0,,,1005
2025-01-05 06:30,07° 41' N / 082° 16' E,Noon At Sea,23.50,350,14.89,13.91,-0.12,1.10,Y,165.0,,13.5,330.00,8310.00,866.6,,,311.8,,,,,,26.5,3.0,,,,,,,,,,,,,,,,,26.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,81.90,7322,154.0,23.50,,23.50,4.00,,8460.0,1440.0,,360.0,360.0,,,,6.20,8.20,7.20,0.0,2.00,,B,41077.0,13.50,,,ARBHI,INKAT,2025-02-01 02:00,-3,N,4,,,,,0.5,,31.0,1006.0,,,1006
