Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10963.02,68386,6.24,12.30,-0.39,-0.02,,,,,60616.50,,,,,,,,,,,4881.1,1052.7,264.7,,,890.4,276.4,77.5,,441.6,,400.6,,666.4,,164.3,,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.6,,,,,386.6,,,,,,,16.2,156.2,,,,,,,,,,,133.0,45771.0,78.57,5039,204.1,6121.29,6700.02,4921.35,4740.79,,,,479.6,460.2,474.8,6352.61,6299.31,681.32,9.49,10.36,9.93,30246.8,0.87,,,60278.6,12.43,,,,,,,,,,,,,1.5,23.1,24.5,,,,
Good Wx.,,,5226.06,62615,11.98,12.33,-0.33,-0.02,,,,,55592.00,,,,,,,,,,,4378.9,574.7,152.4,,,321.8,202.3,56.6,,334.4,,56.0,,64.8,,16.4,,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.4,,,,,121.1,,,,,,,,,,,,,,,,,,,70.0,39711.0,83.83,5492,206.9,5216.46,2721.11,2373.11,2083.29,,,,493.6,470.0,489.2,1036.30,1007.80,163.30,10.38,11.00,10.69,37873.6,0.62,,,65075.4,12.47,,,,,,,,,,,,,1.9,23.9,25.6,,,,
Bad Wx.,,,333.52,3500,10.49,11.88,-1.31,-0.08,,,,,3093.00,,,,,,,,,,,396.7,41.3,,,,11.0,10.8,,,39.8,,6.8,,8.9,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2685.0,87.05,6016,216.2,333.52,164.89,149.32,77.70,,,,524.2,524.8,515.0,20.50,17.50,3.00,10.59,11.11,10.85,37710.5,0.52,,,65173.3,12.28,,,,,,,,,,,,,3.4,16.4,16.4,,,,
2025-01-01 18:00,HOUSTON,Noon In Port,18.02,,,,,,,,,,,,920.3,,,238.5,,466.1,,,,,,,,,,,,,,,3.2,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,18.02,,8487.4,8487.4,,471.0,471.0,,18.02,18.02,18.02,,,,,,,,,12.50,,,,,,,NW,3,SE,0.1,N,1.50,0.2,19.0,22.0,1019.0,1.00,,1019
2025-01-02 04:12,HOUSTON,Departure,10.20,,,,,,,176.0,,12.0,,670.00,920.3,,,229.1,,466.1,,,,,,,,,,,,,,,2.5,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.20,10.20,,4692.0,4437.0,,460.0,435.0,,10.20,7.00,7.00,6.20,8.20,7.20,0.0,2.00,,,42025.0,,,,MXPAJ,,2025-01-15 18:00,-6,,,,,,,,,,,,,
2025-01-02 09:18,29° 11' N / 094° 36' W,Drop Anchor,5.10,44,,,,,,,,,39.00,,920.3,,,223.6,,466.1,,,,,,,,,,,,,3.6,,0.8,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,53.20,2838,248.0,5.10,5.10,5.10,,1581.0,1581.0,,310.0,310.0,,5.10,5.10,,6.20,8.20,7.20,0.0,2.00,,,42025.0,,,,MXPAJ,,2025-01-15 18:00,-6,NE,3,SE,1.0,N,1.20,0.5,18.0,15.0,1020.0,6.00,,1020
2025-01-02 18:00,29° 11' N / 094° 36' W,Noon Maneuvering,8.70,0,,,,,,,,,,670.00,920.3,,,220.9,,466.1,,,,,,,,,,,,,,,1.2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,8.70,,265.0,4437.0,,265.0,510.0,8.70,8.70,,6.20,8.20,7.20,0.0,2.00,,,42025.0,,,,MXPAJ,,2025-01-15 18:00,-6,NE,3,SE,1.0,N,1.00,0.5,19.0,19.0,1022.0,7.00,,1022
2025-01-03 18:00,29° 11' N / 094° 36' W,Noon Maneuvering,24.00,0,,,,,,,,,,670.00,920.3,,,214.5,,466.1,,,,,,,,,,,,,,,2.9,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12120.0,,,505.0,24.00,24.00,,6.20,8.20,7.20,0.0,2.00,,,42025.0,,,,MXPAJ,,2025-01-15 18:00,-6,ENE,3,E,1.0,N,2.00,0.5,19.0,19.0,1025.0,7.00,,1025
2025-01-04 18:00,29° 11' N / 094° 36' W,Noon Maneuvering,24.00,0,,,,,,,,,,670.00,920.3,,,208.0,,466.1,,,,,,,,,,,,,,,2.8,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12000.0,,,500.0,24.00,24.00,,6.20,8.20,7.20,0.0,2.00,,,42025.0,,,,MXPAJ,,2025-01-15 18:00,-6,E,4,E,1.2,N,2.00,0.8,19.0,21.0,1021.0,7.00,,1021
2025-01-05 18:00,29° 11' N / 094° 36' W,Noon Maneuvering,24.00,0,,,,,,,,,,670.00,920.3,,,201.9,,466.1,,,,,,,,,,,,,,,2.8,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,24.00,265.0,,12000.0,265.0,,500.0,24.00,24.00,,6.20,8.20,7.20,0.0,2.00,,,42025.0,,,,MXPAJ,,2025-01-15 18:00,-6,S,4,SSE,1.8,N,1.10,1.2,19.0,23.0,1016.0,9.00,,1016
