Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10959.62,55964,5.11,12.37,-0.45,0.02,,,,,55732.40,,,,,,,,,,,4364.5,1027.2,,,,834.2,293.6,241.0,,719.2,,524.6,,768.5,,149.3,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,48651.0,75.90,5675,186.7,4631.32,4460.75,4788.29,5964.11,,,,398.1,425.0,424.0,6736.40,6267.00,975.40,8.11,9.41,8.76,19982.7,1.29,,,51292.5,12.47,,,,,,,,,,,,,1.1,22.0,22.8,,,,
Good Wx.,,,3963.20,47377,11.95,12.27,-0.32,0.02,,,,,47272.50,,,,,,,,,,,3725.7,498.5,,,,343.6,111.7,192.4,,529.1,,74.8,,34.4,,3.2,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,40346.0,80.75,6225,185.9,3699.20,1089.94,1880.47,2278.31,,,,429.1,440.6,459.1,1025.01,998.41,78.50,8.54,9.84,9.19,22217.0,1.30,,,54194.3,12.39,,,,,,,,,,,,,1.4,22.9,23.2,,,,
Bad Wx.,,,508.60,5989,11.78,13.18,-1.46,0.06,,,,,5910.00,,,,,,,,,,,508.2,72.0,,,,58.8,35.0,22.7,,82.4,,10.9,,14.5,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5351.0,81.70,6069,195.0,508.60,263.10,257.50,260.60,,,,432.1,448.9,441.2,211.60,190.20,24.50,8.02,9.52,8.77,16219.0,1.50,,,51420.7,12.29,,,,,,,,,,,,,2.6,15.2,13.5,,,,
2025-01-01 11:00,42° 57' N / 011° 03' W,Noon At Sea,11.02,155,14.07,14.36,-0.27,-0.02,Y,14.0,,13.0,149.00,845.00,552.0,,,367.7,,,,,,15.2,1.5,,,,,,,,,,,,,,,,,376.2,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,87.17,7373,187.2,11.02,11.02,,,5840.6,,,530.0,,,,,,12.60,12.60,12.60,57724.5,0.00,,L,76552.0,13.00,,,NLRTM,BRAJU,2025-01-04 12:00,1,NE,4,NE,1.5,N,1.00,1.5,16.0,15.0,1029.0,10.00,,1029
2025-01-02 11:00,47° 05' N / 007° 25' W,Noon At Sea,24.00,296,12.33,13.03,-0.68,-0.02,N,36.0,,13.0,280.00,549.00,519.3,,,367.7,,,,,,29.8,2.9,,,,,,,,,,,,,,,,,406.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0,86.94,6296,197.1,24.00,24.00,7.00,,12000.0,3304.0,,500.0,472.0,,,,,12.60,12.60,12.60,57724.5,0.00,,L,76552.0,13.00,,,NLRTM,BRAJU,2025-01-04 12:00,1,S,4,S,2.0,N,0.80,1.0,13.0,8.0,1023.0,6.00,,1023
2025-01-02 19:00,48° 28' N / 005° 54' W,Begin Fuel Change Over,8.00,103,12.86,12.40,-0.29,0.75,Y,,,,89.00,,508.9,,,367.7,,,,,,9.2,1.2,,,,,,,,,,,,,,,,,415.2,,,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,84.46,5594,205.1,8.00,7.00,3.33,4.00,3500.0,985.7,1212.0,500.0,296.0,303.0,,,,12.60,12.60,12.60,57724.5,0.00,,L,76552.0,13.00,,,NLRTM,BRAJU,2025-01-04 12:00,1,,,,,,,,,,,,,
2025-01-02 22:06,48° 55' N / 005° 21' W,End Fuel Change Over,3.10,36,11.62,12.31,-0.26,-0.43,Y,,,,33.00,,508.9,,,363.2,,,,,,,,,,,,,,,4.2,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,84.46,5594,241.0,3.10,2.71,1.29,1.55,1355.0,381.8,469.6,500.0,296.0,303.0,,,,12.60,12.60,12.60,57724.5,0.00,,L,76552.0,13.00,,,NLRTM,BRAJU,2025-01-04 12:00,1,,,,,,,,,,,,,
2025-01-03 11:00,50° 02' N / 001° 37' W,Noon At Sea,12.90,164,12.71,12.10,-0.08,0.69,Y,75.0,,13.0,146.00,249.00,508.9,,,344.5,,,,,,,,,,,,,,,17.2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,84.46,5594,237.8,12.90,11.29,5.38,6.45,5645.0,1592.5,1954.4,500.0,296.0,303.0,,,,12.60,12.60,12.60,57724.5,0.00,,L,76552.0,13.00,,,NLRTM,BRAJU,2025-01-04 10:00,1,NE,4,SSW,1.0,N,2.00,1.5,12.0,6.0,1028.0,5.00,,1028
2025-01-04 11:00,ROTTERDAM,End Of Sea Passage,24.00,227,9.46,9.91,-0.05,-0.40,Y,,,,205.00,,508.9,,,314.5,,,,,,,,,,,,,,,26.9,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,66.73,6506,172.1,24.00,22.00,24.00,,6094.0,6720.0,,277.0,280.0,,,,,12.75,12.75,12.75,57724.5,0.00,,L,77545.0,13.00,,,,BRAJU,2025-01-04 10:00,,W,3,N,0.0,N,3.00,0.5,9.0,5.0,1025.0,0.00,,1025
2025-01-04 12:18,51° 54' N / 003° 25' E,Drop Anchor,1.30,8,,,,,,,,,7.00,,508.9,,,313.7,,,,,,,,,,,,,,,0.5,,0.2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.28,2237,171.9,1.30,1.30,1.30,,364.0,364.0,,280.0,280.0,,1.30,1.30,,12.75,12.75,12.75,57724.5,0.00,,L,77545.0,13.00,,,NLRTM,,2025-01-04 10:00,1,SW,3,N,0.0,N,0.80,0.5,9.0,5.0,1025.0,0.00,,1025
