Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10545.02,66839,6.34,12.37,-0.41,-0.02,,,,,65424.90,,,,,,,,,,,3313.2,728.5,357.9,,,508.3,147.7,119.1,,819.8,,583.4,,1049.8,,326.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2443.8,,,,,267.0,33.5,,,,,,4.6,52.5,,,,,,,,,,,138.4,33742.0,78.18,5922,194.9,5660.70,5027.90,2752.12,5828.80,,,,517.3,527.0,513.9,6108.24,5846.62,1013.32,9.39,10.48,9.94,29926.0,1.08,,,58749.5,11.48,,,,,,,,,,,,,1.3,21.2,23.6,,,,
Good Wx.,,,4948.58,59522,12.03,12.38,-0.33,-0.02,,,,,58059.90,,,,,,,,,,,3079.9,401.4,269.8,,,213.4,147.7,56.7,,535.8,,80.1,,103.3,,48.7,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2175.9,,,,,176.6,33.5,,,,,,,,,,,,,,,,,,138.4,29385.0,81.46,6324,191.8,4838.58,2516.18,1038.40,2235.00,,,,541.4,555.8,529.6,911.30,876.30,96.50,9.82,10.78,10.30,33657.4,0.96,,,61091.2,11.88,,,,,,,,,,,,,1.7,22.1,25.1,,,,
Bad Wx.,,,396.80,4293,10.82,12.31,-1.40,-0.09,,,,,4582.00,,,,,,,,,,,143.5,18.8,28.5,,,2.8,,,,80.4,,13.6,,27.8,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.4,,,,,16.8,,,,,,,,,,,,,,,,,,,,2323.0,80.44,6017,194.3,396.80,99.40,228.60,141.80,,,,503.9,575.2,515.1,73.00,73.00,24.00,9.05,10.62,9.83,26229.9,1.57,,,58445.7,11.50,,,,,,,,,,,,,3.4,17.8,14.7,,,,
2025-01-01 18:00,29° 11' N / 094° 38' W,Noon Maneuvering,18.02,0,,,,,,,,,,54.00,,,,229.5,,1258.9,,,,,,,,,,,,,,,2.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,,,9408.2,,,522.1,,18.02,18.02,,11.55,11.55,11.55,48630.7,0.00,,L,71879.0,,,,USHOU,,2025-01-02 08:30,-6,NE,4,,,,,0.8,,20.0,1034.0,,,1034
2025-01-02 10:00,29° 11' N / 094° 38' W,Heave Anchor,16.00,0,,,,,,81.0,,13.0,,54.00,,,,226.4,,1258.9,,,,,,,,,,,,,,,2.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,,8320.0,,,520.0,,16.00,16.00,,11.55,11.55,11.55,48630.7,0.00,,L,71879.0,,,,USHOU,,2025-01-02 11:30,-6,,,,,,,,,,,,,
2025-01-02 17:00,HOUSTON,Arrival,7.00,54,7.71,,,,,,,,53.00,,,,,218.5,,1258.9,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,59.21,4782,207.6,7.00,,7.00,7.00,,2760.1,2690.1,,394.3,384.3,,,,11.89,11.89,11.89,48630.7,0.00,,L,71879.0,,,,,,2025-01-02 11:30,,,,,,,,,,,,,,
2025-01-02 18:00,HOUSTON,Noon In Port,1.00,,,,,,,,,,,,,,,218.3,,1258.9,,,,,,,,,,,,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,530.0,,,530.0,,1.00,1.00,,,,,,,,,,,,,,,,,NE,2,,,,,0.1,,17.0,1035.0,,,1035
2025-01-03 18:00,HOUSTON,Noon In Port,24.00,,,,,,,,,,,,,,,356.7,,1258.9,,,,,,,,,,,,,,,6.4,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,24.00,24.00,6400.8,9760.8,9859.2,355.6,406.7,410.8,24.00,19.00,18.00,,,,,,,,,,,,,,,,NE,2,,,,,0.1,,17.0,1033.0,,,1033
2025-01-04 10:12,HOUSTON,Departure,16.20,,,,,,,270.0,,13.0,,54.00,,,,342.5,,1258.9,,,,,,,,,,,,,,,3.5,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50,16.20,16.20,4390.0,6499.4,6580.4,418.1,401.2,406.2,16.20,10.50,10.50,6.20,8.70,7.45,0.0,2.50,,,43542.0,,,,USHOU,,2025-01-04 10:30,-6,,,,,,,,,,,,,
2025-01-04 14:48,HOUSTON,Begin Of Sea Passage,4.60,44,9.57,,,,,140.0,,13.0,36.00,7.00,,,,337.5,,1258.9,,,,,,,,,,,,,4.0,,0.8,,0.3,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,67.93,5224,166.5,4.60,,4.60,4.60,,1863.0,1844.1,,405.0,400.9,4.60,4.60,,6.00,8.50,7.25,0.0,2.50,,B,43542.0,,,,USHOU,,2025-01-04 18:00,-6,SW,5,,,,,1.0,,17.0,1033.0,,,1033
