Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10953.00,49258,4.50,12.48,-0.41,0.01,,,,,48418.40,,,,,,,,,,,2599.6,574.5,61.4,,,811.2,442.6,,,890.7,,435.3,,1035.0,,319.8,,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.5,,,,,22.0,,,,,,,16.0,,,,,,,,,,,,,34333.2,90.36,4374,197.6,4326.87,5149.92,4112.42,6458.70,,,,301.0,301.0,304.4,7006.89,6892.29,1193.35,8.50,8.89,8.69,24245.3,0.38,,,51773.5,12.74,,,,,,,,,,,,,0.5,,22.7,,,,
Good Wx.,,,3122.56,38295,12.26,12.53,-0.29,0.02,,,,,37661.00,,,,,,,,,,,2167.1,220.5,21.6,,,291.4,287.0,,,594.0,,79.4,,100.7,,40.6,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.2,,,,,,,,,,,,,,,,,,,,,,,,,26434.8,102.45,4995,191.5,3075.61,1176.55,951.59,1972.77,,,,325.8,304.6,330.5,781.39,736.39,182.40,9.49,9.72,9.61,33434.9,0.23,,,56960.3,12.83,,,,,,,,,,,,,0.9,,22.9,,,,
Bad Wx.,,,491.00,5357,10.91,12.16,-1.22,-0.03,,,,,5222.00,,,,,,,,,,,287.9,34.4,2.4,,,48.3,48.2,,,113.3,,15.2,,66.4,,46.5,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,4071.0,101.87,4555,199.6,490.00,269.80,256.62,361.22,,,,293.7,275.6,290.2,219.40,203.40,66.00,9.07,9.31,9.19,29883.0,0.23,,,54153.4,12.91,,,,,,,,,,,,,1.9,,16.5,,,,
2025-01-01 12:30,ST. EUSTATIUS,Departure,12.52,,,,,,,153.0,,13.0,,1500.00,301.5,,,,,343.8,,,,,1.9,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52,,12.52,4382.0,,4382.0,350.0,,350.0,12.52,12.52,,10.40,10.40,10.40,38016.0,0.00,,,59681.0,13.00,,,BRMAO,,2025-01-06 08:00,-3,,,,,,,,,,,,,
2025-01-01 13:36,ST. EUSTATIUS,Begin Of Sea Passage,1.10,8,7.09,,,,,153.0,,13.0,7.00,1488.00,300.6,,,,,343.8,,,,0.7,0.1,,,,0.1,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,40.00,3600,176.8,1.10,1.10,,1.10,308.0,,308.0,280.0,,280.0,1.10,1.10,,10.40,10.40,10.40,38016.0,0.00,,L,59681.0,13.00,,,BRMAO,,2025-01-06 08:00,-4,E,4,,,,,0.2,,26.0,1017.0,,,1017
2025-01-01 16:00,16° 55' N / 062° 43' W,Noon At Sea,2.40,31,12.93,13.04,-0.09,-0.02,Y,153.0,,13.0,31.00,1457.00,298.1,,,,,343.8,,,,2.2,0.3,,,,,,,,,,,,,,,,,2.2,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,112.00,4300,213.2,2.40,2.40,,2.40,840.0,,840.0,350.0,,350.0,,,,10.40,10.40,10.40,38016.0,0.00,,L,59681.0,13.00,,,BRMAO,BQEUX,2025-01-06 08:00,-4,E,5,,,,,0.3,,26.0,1017.0,,,1017
2025-01-02 16:00,13° 53' N / 059° 07' W,Noon At Sea,24.00,305,12.71,13.28,-0.28,-0.29,Y,131.0,,13.0,303.00,1152.00,272.0,,,,,343.8,,,,23.7,2.4,,,,,,,,,,,,,,,,,25.9,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,105.00,4200,235.1,24.00,,24.00,24.00,,6720.0,6720.0,,280.0,280.0,,,,10.40,10.40,10.40,38016.0,0.00,,L,59681.0,13.00,,,BRMAO,BQEUX,2025-01-06 13:00,-4,E,5,,,,,0.4,,25.0,1015.0,,,1015
2025-01-03 16:00,10° 42' N / 055° 29' W,Noon At Sea,24.00,287,11.96,13.02,-0.50,-0.56,Y,133.0,,13.0,291.00,865.00,246.3,,,,,343.8,,,,23.3,2.4,,,,,,,,,,,,,,,,,49.2,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,105.00,4300,225.8,24.00,,,24.00,,,8400.0,,,350.0,,,,10.40,10.40,10.40,38016.0,0.00,,L,59681.0,13.00,,,BRMAO,BQEUX,2025-01-06 15:00,-4,ENE,5,,,,,0.5,,26.0,1015.0,,,1015
2025-01-04 16:00,07° 32' N / 052° 01' W,Noon At Sea,24.00,278,11.58,13.97,-0.75,-1.64,Y,133.0,,13.0,298.00,587.00,221.1,,,,,343.8,,,,22.9,2.3,,,,,,,,,,,,,,,,,72.1,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,106.00,4400,216.9,24.00,,24.00,,,8400.0,,,350.0,,,,,10.40,10.40,10.40,38016.0,0.00,,L,59681.0,13.00,,,BRMAO,BQEUX,2025-01-06 21:00,-4,E,5,,,,,0.5,,26.0,1014.0,,,1014
2025-01-05 15:00,04° 06' N / 049° 34' W,Noon At Sea,23.00,258,11.22,12.97,-0.56,-1.19,Y,157.0,,13.0,271.00,329.00,196.8,,,,,343.8,,,,21.9,2.4,,,,,,,,,,,,,,,,,94.0,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,106.00,4300,221.4,23.00,,23.00,,,8050.0,,,350.0,,,,,10.40,10.40,10.40,38016.0,0.00,,L,59681.0,13.00,,,BRMAO,BQEUX,2025-01-07 00:00,-4,E,5,,,,,0.5,,26.0,1015.0,,,1015
