Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10947.22,46272,4.23,12.11,-0.40,-0.06,,,,,46920.60,,,,,,,,,,,4003.7,1095.8,41.6,,,1646.8,642.8,112.6,,87.3,,203.7,,299.2,,4.6,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,383.8,,,,,52.1,16.4,,,,,,6.4,,,,,,,,,,,,30.2,40770.0,80.09,5632,198.5,3972.70,5803.24,4327.77,4617.72,,,,377.1,368.4,386.0,7518.95,7397.10,929.95,9.07,10.10,9.59,26698.7,1.04,,,56137.3,12.34,,,,,,,,,,,,,0.8,26.5,27.9,,,,
Good Wx.,,,3345.70,39368,11.77,12.10,-0.27,-0.06,,,,,39911.90,,,,,,,,,,,3360.3,386.7,32.2,,,459.4,358.3,71.7,,53.9,,9.2,,2.9,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,378.4,,,,,46.6,16.4,,,,,,,,,,,,,,,,,,30.2,34478.0,82.00,5818,197.8,3303.20,1593.02,1346.62,1769.05,,,,376.4,378.4,385.3,1023.93,1003.68,20.25,10.46,11.19,10.83,38068.4,0.73,,,64296.5,12.41,,,,,,,,,,,,,1.5,26.4,26.7,,,,
Bad Wx.,,,458.06,4942,10.79,12.19,-1.36,-0.05,,,,,5048.00,,,,,,,,,,,543.1,57.8,,,,89.7,86.7,2.1,,7.0,,0.8,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4756.9,81.18,6029,201.0,458.06,371.76,136.61,166.10,,,,365.4,332.2,348.2,153.00,150.00,3.00,10.62,11.42,11.02,38461.2,0.80,,,65632.3,12.19,,,,,,,,,,,,,3.5,27.6,25.1,,,,
2025-01-01 04:00,02° 33' N / 101° 26' E,Noon At Sea,4.02,36,9.05,9.62,-0.01,-0.56,Y,129.0,,10.0,35.00,188.00,548.1,,,303.9,,,,,,1.7,0.5,,,,,,,,,,,,,,,,,100.7,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,52.76,2107,200.7,4.02,4.02,4.02,,1174.6,1174.2,,292.2,292.1,,,,,6.50,8.00,7.23,0.0,1.50,,B,37058.0,11.00,,,SGSIN,INHAL,2025-01-02 02:00,8,N,0,,,,,0.0,,31.0,1012.0,,,1012
2025-01-02 03:30,SINGAPORE,End Of Sea Passage,23.50,182,7.74,8.23,-0.01,-0.48,Y,,,,182.00,,536.3,,,303.9,,,,,,8.8,3.0,,,,,,,,,,,,,,,,,109.5,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,51.04,2104,178.0,23.50,23.50,23.50,,6429.6,6434.3,,273.6,273.8,,,,,6.50,8.00,7.23,0.0,1.50,,B,37058.0,11.00,,,,INHAL,2025-01-02 02:00,,N,0,,,,,0.0,,0.0,1012.0,,,1012
2025-01-02 04:00,01° 15' N / 103° 56' E,Noon Maneuvering,0.50,2,,,,,,15.0,,2.0,2.00,2.00,536.1,,,303.9,,,,,,0.1,0.1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.83,1265,177.9,0.40,0.50,0.50,,139.0,139.0,,278.0,278.0,,0.50,0.50,,6.50,8.00,7.23,0.0,1.50,,B,37058.0,11.00,,,,,2025-01-02 02:00,,N,0,,,,,0.0,,31.0,1012.0,,,1012
2025-01-02 04:48,01° 16' N / 103° 58' E,Drop Anchor,0.80,2,,,,,,,,,2.00,,535.7,,,303.9,,,,,,0.2,0.2,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.33,2248,177.9,0.50,0.80,0.80,,289.0,289.0,,361.2,361.2,,0.80,0.80,,6.50,8.00,7.25,0.0,1.50,,B,37058.0,11.00,,,SGSIN,,2025-01-02 02:00,8,N,0,,,,,0.0,,31.0,1012.0,,,1012
2025-01-02 22:18,01° 16' N / 103° 58' E,Heave Anchor,17.50,0,,,,,,261.0,,10.0,,24.00,928.7,,,403.8,,,,,,,2.1,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.50,4.50,,7950.2,1700.1,,454.3,377.8,,17.50,3.00,17.50,6.50,8.00,7.25,0.0,1.50,,B,37058.0,11.00,,,SGSIN,,2025-01-02 02:00,8,,,,,,,,,,,,,
2025-01-03 01:30,01° 08' N / 103° 37' E,Drop Anchor,3.20,27,,,,,,,,,24.00,,927.2,,,403.8,,,,,,1.0,0.4,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,62.75,2443,178.0,2.30,3.20,3.20,,894.1,894.1,,279.4,279.4,,1.00,1.00,,6.50,8.00,7.25,0.0,1.50,,B,37058.0,11.00,,,SGSIN,,2025-01-02 02:00,8,NNE,1,,,,,0.1,,31.0,1012.0,,,1012
2025-01-03 05:00,01° 08' N / 103° 37' E,Noon Maneuvering,3.50,,,,,,,,,,,15.00,926.1,,,403.8,,,,,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,3.50,,994.0,994.0,,284.0,284.0,,3.50,3.50,3.50,6.50,8.00,7.25,0.0,1.50,,B,37058.0,11.00,,,SGSIN,,2025-01-02 02:00,8,NNE,2,,,,,0.0,,29.0,1010.0,,,1010
