Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10963.02,60119,5.48,12.00,-0.25,0.05,,,,,66740.20,,,,,,,,,,,4683.3,1137.7,,,,978.1,38.2,92.5,,473.4,,419.8,,641.5,,113.2,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38481.0,76.67,4984,191.3,5300.66,4605.75,6739.60,3730.63,,,,437.1,458.1,417.1,6390.58,6278.01,582.97,8.94,9.96,9.45,27111.1,1.02,,,56216.4,12.61,,,,,,,,,,,,,0.8,30.0,26.7,,,,
Good Wx.,,,4667.22,55048,11.79,11.99,-0.24,0.04,,,,,61543.80,,,,,,,,,,,4449.5,617.2,,,,264.2,13.3,91.7,,307.5,,51.0,,100.6,,76.4,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35273.0,80.65,5366,191.8,4632.60,1766.21,2932.72,1413.20,,,,454.4,481.0,419.8,840.90,839.90,74.60,9.30,10.30,9.80,29806.8,1.00,,,58581.3,12.56,,,,,,,,,,,,,1.0,30.1,27.1,,,,
Bad Wx.,,,172.40,2058,11.94,12.41,-0.58,0.11,,,,,1886.70,,,,,,,,,,,130.1,17.1,,,,,,,,38.5,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.0,80.72,5293,185.6,172.40,41.50,130.90,21.70,,,,533.3,506.6,370.0,,,,10.44,10.80,10.62,40941.1,0.36,,,64240.7,12.50,,,,,,,,,,,,,2.1,25.5,24.4,,,,
2025-01-01 20:00,23° 44' N / 114° 42' W,Noon At Sea,20.02,230,11.49,12.00,-0.43,-0.08,Y,336.0,,13.0,260.00,636.00,464.0,,,368.2,,,,,,20.0,2.0,,,,,,,,,,,,,,,,,431.6,,,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,88.00,5300,188.5,20.02,,20.02,,,10010.0,,,500.0,,,,,13.71,13.71,13.71,65428.4,0.00,,L,83910.0,13.00,,,USLGB,CLPTE,2025-01-04 03:00,-8,N,5,,,,,1.5,,23.0,1026.0,,,1026
2025-01-02 20:00,28° 02' N / 116° 39' W,Noon At Sea,24.00,279,11.62,11.89,-0.29,0.02,Y,338.0,,13.0,311.00,357.00,437.5,,,368.2,,,,,,24.0,2.5,,,,,,,,,,,,,,,,,455.6,,,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,88.00,5300,188.7,24.00,,24.00,,,12000.0,,,500.0,,,,,13.71,13.71,13.71,65428.4,0.00,,L,83910.0,13.00,,,USLGB,CLPTE,2025-01-04 04:00,-8,N,4,,,,,1.0,,16.0,1026.0,,,1026
2025-01-03 16:00,31° 49' N / 117° 34' W,Begin Fuel Change Over,20.00,235,11.75,12.19,-0.30,-0.14,Y,,,,260.00,,415.5,,,368.2,,,,,,20.0,2.0,,,,,,,,,,,,,,,,,475.6,,,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,88.00,5000,200.0,20.00,,20.00,,,10000.0,,,500.0,,,,,13.71,13.71,13.71,65428.4,0.00,,L,83910.0,13.00,,,USLGB,CLPTE,2025-01-04 04:00,-8,,,,,,,,,,,,,
2025-01-03 20:00,32° 19' N / 117° 39' W,Noon At Sea | End Fuel Change Over,4.00,30,7.50,7.74,-0.20,-0.04,Y,355.0,,13.0,36.00,92.00,415.5,,,358.2,,,,,,,,,,,,,,,4.0,,1.2,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,88.00,5000,200.0,0.00,,4.00,,,2000.0,,,500.0,,,,,13.71,13.71,13.71,65428.4,0.00,,L,83910.0,13.00,,,USLGB,CLPTE,2025-01-04 04:30,-8,N,4,,,,,1.0,,16.0,1026.0,,,1026
2025-01-04 01:42,LONG BEACH,End Of Sea Passage,5.70,62,10.88,11.11,-0.12,-0.11,Y,,,,72.00,,415.5,,,351.6,,,,,,,,,,,,,,,6.0,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,88.00,5300,198.6,5.70,,5.70,,,2850.0,,,500.0,,,,,13.71,13.71,13.71,65428.4,0.00,,L,83910.0,13.00,,,,CLPTE,2025-01-04 04:30,,N,4,,,,,1.0,,16.0,1026.0,,,1026
2025-01-04 04:00,33° 36' N / 118° 01' W,Drop Anchor,2.30,21,,,,,,,,,26.00,,415.5,,,349.0,,,,,,,,,,,,,,,2.1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,60.00,3000,304.4,2.30,,2.30,2.30,,1150.0,1150.0,,500.0,500.0,,,,13.71,13.71,13.71,65428.4,0.00,,L,83910.0,13.00,,,USLGB,,2025-01-04 04:30,-8,NNE,3,,,,,0.5,,16.0,1026.0,,,1026
2025-01-04 20:00,33° 36' N / 118° 01' W,Noon Maneuvering,16.00,,,,,,,,,,,15.00,415.5,,,345.8,,,,,,,,,,,,,,,,,1.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,,8000.0,,,500.0,,16.00,16.00,,13.71,13.71,13.71,65428.4,0.00,,L,83910.0,13.00,,,USLGB,,2025-01-12 23:00,-8,NNE,3,,,,,0.5,,16.0,1025.0,,,1025
