Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10961.02,61435,5.60,10.84,-0.30,0.04,,,,,64424.90,,,,,,,,,,,3645.3,868.1,390.5,,,875.4,126.1,,,385.9,,175.0,,491.7,,155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.1,,1504.3,,,,,485.2,44.1,,,,,,25.6,159.8,,,,,,,,,,,148.8,47985.0,76.08,4941,201.0,5502.81,5602.22,4021.30,4380.42,,,,465.1,464.9,474.9,6096.24,6032.04,526.00,8.35,9.58,8.97,19254.4,1.24,,,52864.4,11.96,,,,,,,,,,,,,1.1,19.3,34.3,,,,
Good Wx.,,,5188.28,54878,10.58,10.81,-0.27,0.05,,,,,57461.70,,,,,,,,,,,3328.2,434.7,164.9,,,269.2,119.7,,,260.1,,43.0,,103.3,,102.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,1295.8,,,,,112.9,,,,,,,,,,,,,,,,,,,92.0,43038.0,80.23,5334,196.1,4643.36,2686.60,1862.58,1578.30,,,,485.7,480.0,488.9,1353.00,1353.00,71.00,8.91,10.02,9.47,23839.4,1.11,,,55821.6,12.14,,,,,,,,,,,,,1.2,21.0,35.2,,,,
Bad Wx.,,,281.00,2900,10.32,11.41,-0.93,-0.16,,,,,3142.00,,,,,,,,,,,219.3,29.5,4.3,,,18.0,,,,23.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,,,,,8.7,,,,,,,,,,,,,,,,,,,8.7,2220.0,78.36,5224,194.5,281.00,113.50,144.00,70.00,,,,483.2,518.1,514.4,35.50,35.50,,7.24,8.96,8.10,9838.7,1.72,,,47666.4,12.03,,,,,,,,,,,,,2.5,12.0,109.1,,,,
2025-01-01 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,15.02,,,,,,,,,,,34.00,,,,386.1,,1152.1,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02,,,9012.0,,,600.0,15.02,15.02,,6.20,8.20,7.20,0.0,2.00,,B,41971.0,12.00,,,ARPRS,,2024-12-28 15:00,-3,NE,4,,,,,0.5,,24.0,1018.0,,,1018
2025-01-02 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,24.00,,,,,,,,,,,34.00,,,,386.0,,1146.5,,,,,,2.7,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,9600.0,,,400.0,24.00,24.00,,6.20,8.20,7.20,0.0,2.00,,B,41971.0,12.00,,,ARPRS,,2024-12-28 15:00,-3,SW,4,,,,,0.5,,24.0,1020.0,,,1020
2025-01-03 15:00,39° 18' S / 061° 32' W,Noon Maneuvering,24.00,,,,,,,,,,,34.00,,,,386.0,,1140.9,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,13200.0,,,550.0,24.00,24.00,,6.20,8.20,7.20,0.0,2.00,,B,41971.0,12.00,,,ARPRS,,2024-12-28 15:00,-3,SW,4,,,,,0.5,,24.0,1023.0,,,1023
2025-01-04 00:48,39° 18' S / 061° 32' W,Heave Anchor,9.80,,,,,,,330.0,,11.0,,34.00,,,,386.0,,1138.8,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,9.80,,,5390.0,,,550.0,9.80,9.80,,6.20,8.20,7.20,0.0,2.00,,B,41971.0,12.00,,,ARPRS,,2025-01-04 03:01,-3,,,,,,,,,,,,,
2025-01-04 05:42,PUERTO ROSALES,Arrival,4.90,34,6.94,,,,,,,,36.00,,,,,386.0,,1134.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,0.4,,,,,,,,,,,,,,,,,,,,20.0,52.34,2100,281.8,4.90,,4.90,4.90,,1715.0,1715.0,,350.0,350.0,4.90,4.90,,6.20,8.20,7.20,0.0,2.00,,B,41971.0,12.00,,,,,2025-01-04 03:01,,,,,,,,,,,,,,
2025-01-04 15:00,PUERTO ROSALES,Noon In Port,9.30,,,,,,,,,,,,,,,385.9,,1129.3,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,3.6,,,,,,,1.8,,,,,,,,,,,,,,,,,,,9.30,9.30,,4185.0,4185.0,,450.0,450.0,9.30,9.30,,,,,,,,,,,,,,,,,S,4,,,,,0.0,,24.0,1023.0,,,1023
2025-01-05 13:24,PUERTO ROSALES,Departure,22.40,,,,,,,80.0,,12.0,,769.00,,,,385.8,,1122.2,,,,,,4.4,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,4.4,,,,,,,,,,,,,,,,,,,22.40,22.40,,10080.0,10080.0,,450.0,450.0,22.40,22.40,,11.60,11.60,11.60,50915.0,0.00,,,69963.0,12.00,,,BRRIG,,2025-01-08 18:00,-3,,,,,,,,,,,,,
