Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10960.01,60693,5.54,12.18,-0.38,0.00,,,,,58892.50,,,,,,,,,,,4186.2,945.4,,,,1139.6,430.8,23.1,,794.7,,446.1,,808.2,,72.8,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38910.0,75.18,5304,178.4,5238.94,4164.45,6328.02,5519.80,,,,376.9,409.3,383.7,4466.27,4234.67,750.70,8.68,9.64,9.16,25543.1,0.96,,,53456.6,12.38,,,,,,,,,,,,,1.4,23.9,23.6,,,,
Good Wx.,,,4470.86,53157,11.89,12.19,-0.29,0.00,,,,,51730.40,,,,,,,,,,,3707.5,463.7,,,,400.3,328.7,23.1,,620.0,,85.1,,29.2,,11.8,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32206.0,78.90,5555,177.7,4388.40,1913.49,2696.29,1472.15,,,,378.8,428.0,398.7,839.10,778.76,231.33,9.25,10.11,9.68,30061.1,0.85,,,56683.5,12.51,,,,,,,,,,,,,1.7,25.1,25.0,,,,
Bad Wx.,,,306.53,3215,10.49,12.17,-1.69,0.02,,,,,3143.00,,,,,,,,,,,320.8,30.5,,,,34.5,34.5,,,9.5,,1.9,,2.6,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309.0,79.83,6086,177.1,306.53,52.14,137.53,167.45,,,,369.3,434.9,377.7,56.11,50.75,24.67,11.23,11.23,11.23,49140.9,0.00,,,66912.6,12.61,,,,,,,,,,,,,4.3,26.5,20.0,,,,
2025-01-01 18:00,27° 49' N / 096° 52' W,Noon Maneuvering,18.02,0,,,,,,,,,0.50,35.00,1311.0,,,114.4,,,,,,,,,,,,,,,,,1.9,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,,,8469.4,,,470.0,,,6.76,5.26,1.50,13.30,13.30,13.30,61996.7,0.00,,L,80790.2,10.00,,,USCRP,,2025-01-03 13:30,-6,NNE,6,,,,,1.5,,16.0,1013.0,,,1013
2025-01-02 18:00,27° 49' N / 096° 52' W,Noon Maneuvering,24.00,0,,,,,,,,,0.50,35.00,1311.0,,,109.4,,,,,,,,,,,,,,,,,2.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11280.0,,,470.0,,,9.00,9.00,,13.30,13.30,13.30,61996.7,0.00,,L,80790.2,10.00,,,USCRP,,2025-01-03 13:30,-6,NNE,5,,,,,1.0,,15.0,1015.0,,,1015
2025-01-03 11:36,27° 49' N / 096° 52' W,Heave Anchor,17.60,1,,,,,,60.0,,10.0,1.00,6.00,1311.0,,,105.7,,,,,,,,,,,,,,,,,1.7,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.60,,16.20,1702.0,,5994.0,370.0,,370.0,7.00,7.00,,13.30,13.30,13.30,61996.7,0.00,,L,80790.2,10.00,,,USCRP,,2025-01-03 12:30,-6,,,,,,,,,,,,,
2025-01-03 17:24,CORPUS CHRISTI,Arrival,5.80,35,6.07,,,,,,,,35.60,,1311.0,,,100.9,,,,,,,,,,,,,,,3.7,,0.8,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,63.72,3600,177.2,5.80,5.80,,5.80,1829.9,,1829.9,315.5,,315.5,1.00,1.00,,13.30,13.30,13.30,61996.7,0.00,,L,80790.2,10.00,,,,,2025-01-03 12:30,,,,,,,,,,,,,,
2025-01-03 18:00,CORPUS CHRISTI,Noon In Port,0.60,,,,,,,,,,,,1311.0,,,100.8,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,,,456.0,,,760.0,,,,,,,,,,,,,,,,,,,,,NNE,2,,,,,0.0,,19.0,1016.0,,,1016
2025-01-04 18:00,CORPUS CHRISTI,Noon In Port,24.00,,,,,,,,,,,,1311.0,,,203.1,,,,,,,,,,,,,,,,,4.2,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,24.00,9600.0,,9600.0,400.0,,400.0,23.00,18.00,5.00,,,,,,,,,,,,,,,,NNE,2,,,,,0.1,,20.0,1015.0,,,1015
2025-01-05 18:00,CORPUS CHRISTI,Noon In Port,24.00,,,,,,,,,,,,1311.0,,,169.1,,,,,,,,,,,,,,,,,5.2,,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,24.00,11760.0,,11760.0,490.0,,490.0,24.00,23.00,23.00,,,,,,,,,,,,,,,,ENE,2,,,,,0.1,,21.0,1018.0,,,1018
