Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10973.00,69826,6.36,10.87,-0.41,0.01,,,,,71595.90,,,,,,,,,,,5141.7,789.9,,,,838.6,233.5,82.4,,729.6,,280.8,,873.7,,213.5,,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21312.8,78.56,4971,204.0,5998.73,6255.10,6472.20,7440.08,,,,251.2,240.0,237.0,5823.98,5716.48,1643.10,9.07,10.16,9.61,28141.0,1.08,,,56123.7,12.64,,,,,,,,,,,,,1.4,24.6,28.9,,,,
Good Wx.,,,5646.20,58692,10.39,10.65,-0.27,0.02,,,,,60246.00,,,,,,,,,,,4337.0,480.4,,,,227.2,116.0,47.7,,507.6,,50.6,,56.6,,51.7,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16842.3,81.27,5163,194.2,4788.91,3301.00,2922.60,3922.80,,,,263.9,246.5,245.1,1289.80,1289.80,193.00,9.15,10.21,9.68,28650.3,1.06,,,56755.5,12.64,,,,,,,,,,,,,1.5,26.4,31.6,,,,
Bad Wx.,,,607.00,6730,11.09,12.92,-1.70,-0.12,,,,,6958.00,,,,,,,,,,,636.9,55.1,,,,111.3,87.9,23.4,,38.8,,4.7,,9.2,,7.0,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3095.0,85.01,5929,189.4,607.00,523.50,460.00,203.50,,,,233.1,228.5,236.2,204.50,204.50,131.50,8.28,9.48,8.88,20875.0,1.20,,,51260.9,12.45,,,,,,,,,,,,,3.5,21.4,16.5,,,,
2025-01-01 00:00,13° 07' N / 100° 10' E,Other (Maneuvering),13.00,,,,,,,,,,,,653.8,,,683.8,,,,,,,2.3,,,,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13.00,,3900.0,3900.0,,300.0,300.0,,,,9.35,9.35,9.35,39250.0,0.00,,L,54728.0,,,,THPCT,,2024-12-31 11:00,7,,,,,,,,,,,,,
2025-01-01 05:00,13° 07' N / 100° 10' E,Noon Maneuvering,5.00,0,,,,,,,,,,0.00,653.1,,,683.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,,1500.0,1500.0,,300.0,300.0,,,,9.35,9.35,9.35,39250.0,0.00,,L,54728.0,,,,THPCT,,2025-01-01 21:00,7,NW,3,,,,,0.5,,28.0,1012.0,,,1012
2025-01-01 21:18,13° 07' N / 100° 10' E,Heave Anchor,16.30,0,,,,,,270.0,,,,2.50,650.4,,,683.8,,,,,,,1.5,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.30,16.30,,3097.0,3097.0,,190.0,190.0,16.30,16.30,,9.35,9.35,9.35,39250.0,0.00,,L,54728.0,,,,THPCT,,2025-01-01 21:36,7,,,,,,,,,,,,,
2025-01-01 23:36,PETCHBURI TERMINAL,Arrival,2.30,2,1.09,,,,,,,,2.50,,649.9,,,683.8,,,,,,0.1,0.3,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,1122,38.8,2.30,,2.30,2.30,,575.0,575.0,,250.0,250.0,2.30,2.30,,9.35,9.35,9.35,39250.0,0.00,,L,54728.0,,,,,,2025-01-01 21:36,,,,,,,,,,,,,,
2025-01-03 22:42,PETCHBURI TERMINAL,Departure,47.10,,,,,,,129.0,,12.0,,0.00,591.9,,,683.8,,,,,,,6.9,,,,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.40,45.40,,13620.0,13620.0,,300.0,300.0,45.40,45.40,,6.00,8.00,7.00,0.0,2.00,,,38623.0,,,,THRVT,,2025-01-03 23:24,,,,,,,,,,,,,,
2025-01-04 00:00,PETCHBURI TERMINAL,Begin Of Sea Passage,1.30,6,4.62,,,,,130.0,,12.0,6.00,163.00,591.4,,,683.8,,,,,,0.4,0.1,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,1345,228.8,1.30,,1.30,1.30,,260.0,260.0,,200.0,200.0,,,,6.00,8.00,7.00,0.0,2.00,,B,38623.0,,,,THBSP,,2025-01-04 13:00,7,N,3,,,,,0.8,,29.0,1012.0,,,1012
2025-01-04 05:00,12° 09' N / 100° 38' E,Noon At Sea,5.00,63,12.60,12.91,-0.06,-0.25,Y,145.0,,12.0,63.00,99.00,586.2,,,683.8,,,,,,4.7,0.5,,,,,,,,,,,,,,,,,4.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,83.00,4780,196.6,5.00,,5.00,5.00,,1050.0,1050.0,,210.0,210.0,,,,6.00,8.00,7.00,0.0,2.00,,B,38623.0,,,,THBSP,THPCT,2025-01-04 14:00,7,N,3,,,,,1.0,,30.0,1012.0,,,1012
