Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10948.02,61646,5.63,12.01,-0.40,0.01,,,,,64792.00,,,,,,,,,,,4924.4,1779.0,,,,1984.2,455.4,231.9,,146.8,,104.8,,92.3,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39316.5,75.70,4719,198.0,5496.97,6081.42,5174.62,5974.00,,,,461.9,441.7,482.6,7010.66,6752.04,1663.75,8.86,10.04,9.45,23944.1,1.19,,,56763.0,12.20,,,,,,,,,,,,,1.5,26.4,28.8,,,,
Good Wx.,,,4634.29,54127,11.68,11.95,-0.28,0.00,,,,,56842.70,,,,,,,,,,,4214.8,725.5,,,,562.9,334.9,164.2,,109.5,,18.1,,30.3,,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34254.4,78.46,4901,193.4,4593.19,2336.02,1917.79,2221.57,,,,482.4,446.3,484.7,1221.82,1165.70,291.65,9.92,10.85,10.39,32656.9,0.94,,,62423.9,12.35,,,,,,,,,,,,,1.8,26.4,28.6,,,,
Bad Wx.,,,503.00,5561,11.06,12.58,-1.57,0.04,,,,,5881.00,,,,,,,,,,,538.5,76.8,,,,108.5,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3962.0,79.18,5222,206.0,503.00,382.00,194.00,122.00,,,,449.8,465.7,419.0,146.00,134.00,78.00,9.81,10.74,10.27,33067.2,0.93,,,61484.3,12.67,,,,,,,,,,,,,4.5,19.8,19.3,,,,
2025-01-01 04:00,27° 37' N / 124° 28' E,Noon At Sea,4.02,38,9.43,9.61,-0.08,-0.10,Y,190.0,,12.5,41.00,276.00,454.8,,,158.0,,,,,,1.4,0.7,,,,2.8,2.8,,,,,,,,,,,,10.0,,,4.7,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,64.90,1915,179.3,4.02,4.02,4.02,,1728.6,1736.6,,430.0,432.0,,4.02,4.02,4.02,5.50,7.50,6.50,0.0,2.00,,B,37359.3,12.50,,,CNFZH,CNYAN,2025-01-02 06:00,8,NNE,3,S,1.2,N,0.38,1.2,20.0,17.0,1020.0,4.00,,1020
2025-01-01 06:42,27° 12' N / 124° 24' E,Begin Stoppage,2.70,25,9.33,9.18,-0.07,0.22,Y,,,,24.00,,450.3,,,158.0,,,,,,1.2,0.4,,,,2.9,2.9,,,,,,,,,,,,11.2,,,5.1,,,,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,48.50,2131,217.2,2.70,2.70,2.70,,1112.4,1109.7,,412.0,411.0,,2.70,2.70,2.70,5.50,7.50,6.50,0.0,2.00,,B,37359.3,12.50,,,CNFZH,CNYAN,2025-01-02 06:00,8,NNE,3,S,1.2,N,0.38,1.2,20.0,17.0,1020.0,4.00,,1020
2025-01-02 04:00,27° 11' N / 124° 16' E,Noon At Stoppage,21.30,7,0.34,0.47,-0.01,-0.12,Y,,,,6.00,247.00,419.5,,,158.0,,,,,,3.2,4.8,,,,22.8,22.8,,,,,,,,,,,,14.4,,,9.9,,,,,,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,48.27,823,180.3,21.30,21.30,21.30,,9009.9,9222.9,,423.0,433.0,,21.30,21.30,21.30,5.50,7.50,6.50,0.0,2.00,,B,37359.3,12.50,,,CNFZH,CNYAN,2025-01-04 08:00,8,NE,5,SSW,2.0,N,0.30,2.0,21.0,19.0,1019.0,6.00,,1019
2025-01-03 04:00,26° 53' N / 123° 12' E,Noon At Stoppage,24.00,60,2.50,2.66,-0.10,-0.06,N,,,,68.00,183.00,371.2,,,158.0,,,,,,7.3,5.5,,,,35.5,,,,,,,,,,,,,21.7,,,15.4,,,,,,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,48.90,1522,200.4,24.00,24.00,24.00,,10152.0,10392.0,,423.0,433.0,,24.00,24.00,24.00,5.50,7.50,6.50,0.0,2.00,,B,37359.3,12.50,,,CNFZH,CNYAN,2025-01-04 15:00,8,N,6,SW,2.5,N,0.30,2.5,22.0,17.0,1022.0,6.00,,1022
2025-01-04 00:00,26° 46' N / 122° 13' E,End Stoppage,20.00,53,2.65,2.84,-0.15,-0.04,Y,258.0,,12.5,56.00,130.00,335.7,,,158.0,,,,,,1.1,4.6,,,,29.8,29.8,,,,,,,,,,,,22.8,,,20.0,,,,,,103.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,33.10,300,185.0,20.00,20.00,20.00,,8460.0,8500.0,,423.0,425.0,,20.00,20.00,20.00,5.50,7.50,6.50,0.0,2.00,,B,37359.3,12.50,,,CNFZH,CNYAN,2025-01-04 15:00,8,,,,,,,,,,,,,
2025-01-04 04:00,26° 38' N / 121° 38' E,Noon At Sea,4.00,32,8.00,7.38,-0.21,0.83,Y,235.0,,12.5,36.00,98.00,325.1,,,158.0,,,,,,2.1,0.9,,,,7.6,,,,,,,,,,,,,24.9,,,20.9,,,,,,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,56.20,2533,208.2,4.00,4.00,4.00,,1704.0,1700.0,,426.0,425.0,,4.00,4.00,4.00,5.50,7.50,6.50,0.0,2.00,,B,37359.3,12.50,,,CNFZH,CNYAN,2025-01-04 15:00,8,NE,5,S,2.5,N,0.30,2.5,23.0,18.0,1024.0,6.00,,1024
2025-01-04 13:30,FUZHOU,End Of Sea Passage,9.50,88,9.31,9.76,-0.21,-0.24,Y,,,,83.00,,306.0,,,158.0,,,,,,4.8,0.9,,,,13.4,,,,,,,,,,,,,29.8,,,21.8,,,,,,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,51.54,3100,164.7,9.50,9.50,9.50,,2707.5,2755.0,,285.0,290.0,,9.50,9.50,9.50,5.50,7.50,6.50,0.0,2.00,,B,37359.3,12.50,,,,CNYAN,2025-01-04 15:00,,NE,5,SSW,2.5,N,0.30,2.5,14.0,16.0,1022.0,6.00,,1022
