Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10961.02,61301,5.59,12.39,-0.37,0.00,,,,,63203.50,,,,,,,,,,,4959.6,1163.3,,,,1803.0,574.2,181.7,,588.4,,408.4,,708.4,,67.5,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,79.72,3804,1778.2,5330.68,6015.97,5648.42,6541.47,,,,337.1,377.5,361.6,7306.19,7291.49,1825.72,9.28,10.26,9.77,27961.9,0.98,,,53840.4,12.20,,,,,,,,,,,,,1.7,21.5,26.7,,,,
Good Wx.,,,4450.82,53596,12.04,12.32,-0.27,0.00,,,,,55136.00,,,,,,,,,,,4368.5,617.6,,,,761.2,415.9,181.7,,457.3,,60.7,,54.1,,3.1,,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,83.09,4031,2009.1,4300.32,2597.72,2249.10,3064.02,,,,361.9,393.3,375.3,2137.62,2137.22,327.00,9.75,10.71,10.23,31858.7,0.96,,,53901.4,12.27,,,,,,,,,,,,,2.0,21.8,27.4,,,,
Bad Wx.,,,420.50,4945,11.76,13.11,-1.42,0.08,,,,,5225.00,,,,,,,,,,,486.9,55.1,,,,79.6,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.42,5120,1142.3,420.50,217.10,276.50,138.70,,,,383.8,363.6,342.0,228.50,228.50,23.00,12.24,12.35,12.29,53803.1,0.11,,,71114.7,,,,,,,,,,,,,,4.3,16.6,20.8,,,,
2025-01-01 18:00,29° 11' N / 094° 35' W,Noon Maneuvering,18.02,,,,,,,,,,,,618.5,,,273.6,,,,,,,,,,,,,,,,,1.7,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,18.02,,4757.3,4757.3,,264.0,264.0,,18.02,18.02,18.02,11.10,11.10,11.10,46014.4,0.00,,L,64398.0,,,,USHOU,,2024-12-27 08:00,-5,NE,5,,,,,1.5,,13.0,1021.0,,,1021
2025-01-02 03:36,29° 11' N / 094° 35' W,Heave Anchor,9.60,,,,,,,315.0,,12.0,,11.30,618.5,,,271.0,,,,,,,,,,,,,,,,,1.2,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.60,9.60,,4339.2,4320.0,,452.0,450.0,,9.60,9.60,9.60,11.10,11.10,11.10,46014.4,0.00,,L,64398.0,,,,USHOU,,2025-01-02 04:30,-5,,,,,,,,,,,,,
2025-01-02 09:24,HOUSTON,Arrival,5.80,38,6.55,,,,,,,,40.00,,618.5,,,266.6,,,,,,,,,,,,,,,3.1,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.80,854,625.8,5.80,5.80,5.80,,2035.8,2018.4,,351.0,348.0,,5.80,5.80,,11.10,11.10,11.10,46014.4,0.00,,L,64398.0,,,,,,2025-01-02 04:30,,,,,,,,,,,,,,
2025-01-02 18:00,HOUSTON,Noon In Port,8.60,,,,,,,,,,,,618.5,,,263.1,,,,,,,,,,,,,,,,,1.5,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.60,8.60,,2373.6,2253.2,,276.0,262.0,,8.60,8.60,8.60,,,,,,,,,,,,,,,,NE,4,,,,,0.3,,18.0,1021.0,,,1021
2025-01-03 18:00,HOUSTON,Noon In Port,24.00,,,,,,,,,,,,618.5,,,235.8,,,,,,,,,,,,,,,,,5.3,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24.00,24.00,6360.0,6264.0,6384.0,265.0,261.0,266.0,24.00,24.00,24.00,,,,,,,,,,,,,,,,NE,3,,,,,0.3,,18.0,1021.0,,,1021
2025-01-04 18:00,HOUSTON,Noon In Port,24.00,,,,,,,,,,,,618.5,,,205.5,,,,,,,,,,,,,,,,,4.8,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24.00,,6024.0,6432.0,,251.0,268.0,24.00,24.00,24.00,,,,,,,,,,,,,,,,NE,3,,,,,0.3,,18.0,1021.0,,,1021
2025-01-05 12:30,HOUSTON,Departure,18.50,,,,,,,90.0,,13.0,,38.00,618.5,,,185.8,,,,,,,,,,,,,,,,,3.4,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.50,18.50,,6049.5,6105.0,,327.0,330.0,18.50,18.50,18.50,6.20,8.20,7.20,0.0,2.00,,,40547.0,,,,USGLS,,2025-01-05 17:30,-5,,,,,,,,,,,,,
