Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10933.29,59541,5.45,11.17,-0.38,-0.01,,,,,55076.20,,,,,,,,,,,5205.6,917.2,,,,911.9,258.8,106.9,,522.5,,417.5,,706.7,,271.6,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25831.0,77.56,5190,321.1,5286.70,7191.01,1489.30,6725.39,,,,370.2,322.8,372.7,3112.73,3112.73,,9.13,10.17,9.65,25776.4,1.03,,,56842.5,12.45,,,,,,,,,,,,,1.8,20.5,25.9,,,,
Good Wx.,,,4688.91,50628,10.80,11.11,-0.29,-0.01,,,,,46843.00,,,,,,,,,,,4387.6,521.3,,,,324.1,224.4,46.4,,395.2,,53.1,,62.1,,52.3,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21079.0,80.83,5347,346.4,4265.19,2933.51,623.18,2513.64,,,,407.4,317.1,401.9,449.27,449.27,,9.67,10.57,10.12,30818.6,0.89,,,60026.0,12.46,,,,,,,,,,,,,2.3,23.4,26.7,,,,
Bad Wx.,,,652.60,6925,10.61,11.60,-1.03,0.04,,,,,6341.00,,,,,,,,,,,693.2,77.9,,,,46.0,14.1,32.0,,22.1,,2.7,,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3689.0,81.14,5718,201.6,604.60,430.60,138.00,353.00,,,,389.3,282.6,326.1,23.00,23.00,,9.46,10.32,9.90,30222.6,0.86,,,58541.8,12.46,,,,,,,,,,,,,4.0,20.3,21.7,,,,
2025-01-02 05:30,LIMETREE BAY,Departure,29.52,,,,,,,180.0,,12.0,,5.00,695.5,,,304.5,,,,,,,,,,,,,,,,,2.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.52,,29.52,8856.0,,8856.0,300.0,,300.0,,,,10.30,10.30,10.30,0.0,0.00,,,63955.0,,,,VILIB,,2025-01-02 06:00,-4,,,,,,,,,,,,,
2025-01-02 05:42,LIMETREE BAY,Arrival,0.20,1,5.00,,,,,,,,1.00,,695.5,,,304.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.50,2750,,0.20,0.20,,0.20,60.0,,60.0,300.0,,300.0,,,,10.30,10.30,10.30,0.0,0.00,,,63955.0,,,,,,2025-01-02 06:00,,,,,,,,,,,,,,
2025-01-03 03:00,LIMETREE BAY,Departure,21.30,,,,,,,90.0,,5.0,,5.00,695.5,,,287.7,,,,,,,,,,,,,,,,,2.8,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.30,,21.30,6390.0,,6390.0,300.0,,300.0,21.30,21.30,,10.70,10.70,10.70,43364.6,0.00,,,62672.0,,,,VILIB,,2025-01-03 03:06,-4,,,,,,,,,,,,,
2025-01-03 03:12,LIMETREE BAY,Arrival,0.20,3,15.00,,,,,,,,3.00,,695.5,,,287.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2750,,0.20,0.20,,0.20,60.0,,60.0,300.0,,300.0,,,,10.70,10.70,10.70,43364.6,0.00,,,63955.0,,,,,,2025-01-03 03:06,,,,,,,,,,,,,,
2025-01-05 21:00,LIMETREE BAY,Departure,65.80,,,,,,,184.0,,12.0,,126.00,695.5,,,263.6,,,,,,,,,,,,,,,,,13.4,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.80,,65.80,19740.0,,19740.0,300.0,,300.0,65.80,65.80,,10.70,10.70,10.70,23162.6,0.00,,,63955.0,,,,PRPSE,,2025-01-06 10:00,-4,,,,,,,,,,,,,
2025-01-05 22:00,LIMETREE BAY,Begin Of Sea Passage,1.00,6,6.00,,,,,155.0,,12.0,6.00,126.00,695.5,,,263.0,,,,,,,,,,,,,,,0.4,,0.1,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,38.53,2780,161.9,1.00,1.00,,1.00,320.0,,320.0,320.0,,320.0,1.00,1.00,,10.70,10.70,10.70,23162.6,0.00,,L,63955.0,,,,PRPSE,,2025-01-06 10:00,-4,NNE,4,,,,,0.5,,29.0,1018.0,,,1018
2025-01-06 09:06,PONCE,End Of Sea Passage,11.10,130,11.71,11.39,-0.13,0.45,Y,,,,124.00,,695.5,,,251.6,,,,,,,,,,,,,,,10.2,,1.2,,,,,,,,,10.2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,74.72,4615,199.1,11.10,11.10,,,5328.0,,,480.0,,,,,,10.70,10.70,10.70,23162.6,0.00,,L,63955.0,12.50,,,,VILIB,2025-01-06 10:00,,E,4,,,,,10.5,,29.0,1018.0,,,1018
