Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10962.02,74897,6.83,12.59,-0.44,0.10,,,,,80721.90,,,,,,,,,,,5126.1,1129.6,88.3,,,830.3,154.7,128.7,,595.3,,380.2,,487.6,,91.4,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,2.4,,388.9,,,,,24.6,,,,,,,20.0,9.0,,,,,,,,,,,,68522.0,76.07,5114,901.1,6208.08,5132.21,4142.23,6017.59,,,,406.1,436.9,417.0,5782.77,5584.87,1099.07,8.54,9.90,9.21,21810.1,1.36,,,54179.2,14.02,,,,,,,,,,,,,1.2,21.8,22.9,,,,
Good Wx.,,,5257.06,64740,12.31,12.57,-0.35,0.10,,,,,69770.80,,,,,,,,,,,4449.5,636.3,50.9,,,338.2,132.4,95.8,,449.2,,89.2,,90.4,,27.4,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,345.2,,,,,,,,,,,,,,,,,,,,,,,,,58728.0,79.83,5445,184.0,5209.35,2395.39,1990.32,2362.54,,,,454.1,477.2,457.3,1179.14,1113.18,323.60,9.17,10.33,9.75,27238.4,1.16,,,57905.2,14.01,,,,,,,,,,,,,1.5,22.7,24.4,,,,
Bad Wx.,,,523.92,6016,11.48,12.78,-1.37,0.08,,,,,6600.00,,,,,,,,,,,502.6,68.0,5.6,,,15.3,15.3,,,8.2,,1.5,,1.7,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,5882.0,80.01,5612,188.3,522.62,177.00,187.48,315.75,,,,395.7,418.6,458.8,39.50,28.56,36.50,8.13,9.68,8.90,18422.8,1.56,,,52006.6,12.80,,,,,,,,,,,,,3.4,16.4,16.3,,,,
2025-01-01 09:00,TUZLA,Noon In Port,9.02,,,,,,,,,,,,,,,131.0,,34.2,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02,,,2128.7,,,236.0,,,,,,,,,,,,,,,,,,,,,N,1,,,,,0.0,,8.0,1026.0,,,1026
2025-01-02 09:00,TUZLA,Noon In Port,24.00,,,,,,,,,,,,,,,129.6,,34.2,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,5664.0,,,236.0,,,,,,,,,,,,,,,,,,,,,N,0,,,,,0.0,,7.0,1023.0,,,1023
2025-01-03 09:00,TUZLA,Noon In Port,24.00,,,,,,,,,,,,,,,128.1,,34.2,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,5664.0,,,236.0,,,,,,,,,,,,,,,,,,,,N,1,,,,,0.0,,8.0,1020.0,,,1020
2025-01-04 09:00,TUZLA,Noon In Port,24.00,,,,,,,,,,,,,,,126.7,,34.2,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,5904.0,,,246.0,,,,,,,,,,,,,,,,,,,,NE,2,,,,,0.0,,8.0,1016.0,,,1016
2025-01-05 09:00,TUZLA,Noon In Port,24.00,,,,,,,,,,,,,,,124.9,,34.2,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,7200.0,,,300.0,,,,,,,,,,,,,,,,,,,,NE,2,,,,,0.0,,8.0,1016.0,,,1016
2025-01-06 09:00,TUZLA,Noon In Port,24.00,,,,,,,,,,,,,,,123.4,,34.2,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,6000.0,,,250.0,,,,,,,,,,,,,,,,,,,,NE,2,,,,,0.0,,8.0,1016.0,,,1016
2025-01-07 09:00,TUZLA,Noon In Port,24.00,,,,,,,,,,,,,,,122.1,,34.2,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,5040.0,,,210.0,,,,,,,,,,,,,,,,,,,,NE,3,,,,,0.0,,8.0,1016.0,,,1016
