Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10961.02,55578,5.07,12.40,-0.46,-0.05,,,,,58320.30,,,,,,,,,,,3933.9,918.0,211.7,,,812.7,222.1,25.2,,687.1,,408.5,,630.0,,112.0,,131.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,906.5,,,,,198.4,16.8,,,,,,6.2,100.4,,,,,,,,,,,26.9,41126.0,76.29,5926,185.5,4647.45,5751.28,3142.20,5429.68,,,,482.0,465.9,496.3,7368.06,7069.56,866.70,8.63,9.62,9.13,23777.5,0.99,,,54089.8,12.81,,,,,,,,,,,,,1.2,23.7,26.8,,,,
Good Wx.,,,3952.18,47256,11.96,12.36,-0.35,-0.05,,,,,49575.90,,,,,,,,,,,3550.3,358.9,92.8,,,181.8,140.3,23.5,,379.5,,55.2,,29.0,,9.7,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.3,,,,,51.4,16.8,,,,,,,,,,,,,,,,,,22.4,34492.0,83.54,6708,184.0,3774.06,1947.48,813.81,1851.48,,,,486.1,432.2,507.0,813.01,809.31,9.70,9.41,10.12,9.77,29976.9,0.71,,,58093.5,12.82,,,,,,,,,,,,,1.8,24.5,26.8,,,,
Bad Wx.,,,372.92,4184,11.22,12.90,-1.58,-0.09,,,,,4854.00,,,,,,,,,,,264.4,29.6,2.4,,,12.9,12.9,,,152.4,,16.3,,17.0,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,,,,,,,,,,,,,,,,,,3437.0,81.99,6483,184.4,350.22,139.02,43.47,240.00,,,,485.3,477.0,492.6,64.87,64.87,2.00,7.62,9.40,8.51,15881.3,1.77,,,50133.9,12.70,,,,,,,,,,,,,3.1,14.3,18.7,,,,
2025-01-01 13:00,34° 42' N / 028° 51' W,Noon At Sea,13.02,131,10.06,12.80,-2.34,-0.40,N,237.0,,12.5,176.00,2805.00,863.1,,,362.1,,,,,,13.4,1.6,,,,,,,,,,,,,,,,,228.2,,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,78.90,5604,183.5,13.02,13.02,,,6510.0,,,500.0,,,,,,5.70,8.60,7.15,0.0,2.90,,B,41679.0,12.50,,,BSFPO,GRKLL,2025-01-10 11:00,-5,SW,7,,,,,2.5,,22.0,1006.0,,,1006
2025-01-02 13:00,32° 50' N / 032° 30' W,Noon At Sea,24.00,214,8.92,11.78,-2.71,-0.15,N,231.0,,12.5,248.00,2591.00,835.1,,,362.1,,,,,,25.0,3.0,,,,,,,,,,,,,,,,,253.2,,,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,78.40,5670,183.7,24.00,24.00,,,12000.0,,,500.0,,,,,,5.70,8.60,7.15,0.0,2.90,,B,41679.0,12.50,,,BSFPO,GRKLL,2025-01-11 00:00,-5,SW,7,,,,,2.5,,21.0,1003.0,,,1003
2025-01-03 14:00,30° 44' N / 037° 05' W,Noon At Sea,25.00,267,10.68,12.31,-1.57,-0.06,Y,261.0,,12.5,343.00,2244.00,805.9,,,362.1,,,,,,26.1,3.1,,,,,,,,,,,,,,,,,279.4,,,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,79.40,5687,183.7,25.00,,,25.00,,,12500.0,,,500.0,,,,5.70,8.60,7.15,0.0,2.90,,B,41679.0,12.50,,,BSFPO,GRKLL,2025-01-11 02:00,-5,NW,6,,,,,3.0,,22.0,1013.0,,,1013
2025-01-04 15:00,30° 03' N / 043° 10' W,Noon At Sea,25.00,318,12.72,13.58,-0.75,-0.11,Y,262.0,,12.5,393.00,1926.00,775.8,,,362.1,,,,,,27.0,3.1,,,,,,,,,,,,,,,,,306.4,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,82.07,5879,183.7,25.00,,,25.00,,,12500.0,,,500.0,,,,5.70,8.60,7.15,0.0,2.90,,B,41679.0,12.50,,,BSFPO,GRKLL,2025-01-11 02:00,-5,SW,4,,,,,3.0,,22.0,1017.0,,,1017
2025-01-05 15:00,29° 33' N / 048° 36' W,Noon At Sea,24.00,287,11.96,13.67,-1.54,-0.17,N,263.0,,12.5,347.00,1639.00,745.9,,,362.1,,,,,,26.9,3.0,,,,,,,,,,,,,,,,,333.2,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,82.00,6099,183.7,24.00,,,24.00,,,12000.0,,,500.0,,,,5.70,8.60,7.15,0.0,2.90,,B,41679.0,12.50,,,BSFPO,GRKLL,2025-01-11 02:00,-5,W,6,,,,,2.5,,23.0,1011.0,,,1011
2025-01-06 16:00,28° 58' N / 053° 00' W,Noon At Sea,25.00,233,9.32,12.63,-3.27,-0.04,N,274.0,,12.5,282.00,1406.00,714.5,,,362.1,,,,,,28.2,3.2,,,,,,,,,,,,,,,,,361.4,,,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,80.07,6142,183.7,25.00,,,25.00,,,12500.0,,,500.0,,,,5.70,8.60,7.15,0.0,2.90,,B,41679.0,12.50,,,BSFPO,GRKLL,2025-01-11 11:00,-5,WNW,7,,,,,4.0,,22.0,1012.0,,,1012
2025-01-07 16:00,28° 52' N / 057° 17' W,Noon At Sea,24.00,226,9.42,12.28,-2.60,-0.26,N,265.0,,12.5,285.00,1180.00,684.8,,,362.1,,,,,,26.7,3.0,,,,,,,,,,,,,,,,,388.1,,,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,78.17,6053,183.7,24.00,,,24.00,,,12000.0,,,500.0,,,,5.70,8.60,7.15,0.0,2.90,,B,41679.0,12.50,,,BSFPO,GRKLL,2025-01-12 14:00,-5,SW,6,,,,,3.5,,23.0,1010.0,,,1010
